id_edicion,anio,id_evento,evento,codigo_noc,gold,silver,bronze,filas_atleta,estado,motivo,fuente_oficial
1,1896,1928,Athletics Men's Shot Put,GRE,,Miltiadis Gouskos,Georgios Papasideris,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1946,Athletics Men's Pole Vault,USA,Bill Hoyt; William Hoyt,Albert Tyler,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1946,Athletics Men's Pole Vault,GRE,,,Evangelos Damaskos; Ioannis Theodoropoulos,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1947,Athletics Men's High Jump,USA,Ellery Clark,Bob Garrett; James B. Connolly; James Connolly; Robert Garrett,,5,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1949,"Athletics Men's 1,500 metres",AUS,Edwin Flack; Teddy Flack,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1949,"Athletics Men's 1,500 metres",USA,,Arthur Blake; Arthur C. Blake,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1949,"Athletics Men's 1,500 metres",FRA,,,Albin Lermusiaux,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1955,"Fencing Men's Foil, Individual",FRA,Eugne Gravelotte; Eugne Henry Gravelotte,Eugne Callot; Eugne Henri Callot,,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1955,"Fencing Men's Foil, Individual",GRE,,,Athanasios Vouros; Periklis Pierrakos-Mavromikhalis,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1967,Athletics Men's Long Jump,USA,Ellery Clark,Bob Garrett; Robert Garrett,James B. Connolly; James Connolly,6,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1974,"Cycling Men's Road Race, Individual",GBR,,,Edward Battel,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1974,"Cycling Men's Road Race, Individual",GER,,Anton Gdrich,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1974,"Cycling Men's Road Race, Individual",GRE,Aristidis Konstantinidis,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1992,Tennis Men's Doubles,AUS,,,Edwin Flack; Teddy Flack,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1992,Tennis Men's Doubles,GBR,John Boland; John Pius Boland,,George Robertson; George Stuart Robertson,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1992,Tennis Men's Doubles,GER,Friedrich Traun; Fritz Traun,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,1992,Tennis Men's Doubles,GRE,,Demetrius Casdagli; Dimitrios Petrokokkinos,,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2,"Doubles, Men (Olympic)",GBR,John Pius Boland,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2,"Doubles, Men (Olympic)",GRE,,Demetrius Casdagli; Dimitrios Petrokokkinos,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2000,Athletics Men's 110 metres Hurdles,USA,Thomas Curtis; Tom Curtis,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2000,Athletics Men's 110 metres Hurdles,GBR,,Grantley Goulding,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2006,Swimming Men's 100 metres Freestyle,AUT,,Otto Herschmann,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2006,Swimming Men's 100 metres Freestyle,HUN,Alfrd (Arnold-) Hajs (Guttmann-); Alfrd (guttmann-),,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2015,Athletics Men's 400 metres,USA,Thomas Burke; Tom Burke,Herbert Jamison,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2015,Athletics Men's 400 metres,GBR,,,Charles Gmelin,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2018,Athletics Men's 800 metres,AUS,Edwin Flack; Teddy Flack,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2018,Athletics Men's 800 metres,GRE,,,Dimitrios Golemis,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2018,Athletics Men's 800 metres,HUN,,Nndor Dni,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2041,Athletics Men's Marathon,GRE,Spyridon Louis; Spyros Louis,Kharilaos Vasilakos,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2041,Athletics Men's Marathon,HUN,,,Gyula Kellner,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2052,"Fencing Men's Sabre, Individual",DEN,,,Holger Nielsen,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2052,"Fencing Men's Sabre, Individual",GRE,Ioannis Georgiadis,Tilemakhos Karakalos,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2080,Athletics Men's Triple Jump,USA,James B. Connolly; James Connolly,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2080,Athletics Men's Triple Jump,FRA,,Pierre Alexandre Tuffri; Pierre Tuffri,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2080,Athletics Men's Triple Jump,GRE,,,Ioannis Persakis,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2091,Tennis Men's Singles,GBR,John Boland; John Pius Boland,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2091,Tennis Men's Singles,GRE,,Demetrius Casdagli,Khios Paspatis; Konstantinos Paspatis,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2091,Tennis Men's Singles,HUN,,,Momcsill Tapavicza,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2097,Athletics Men's Discus Throw,USA,Bob Garrett; Robert Garrett,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2097,Athletics Men's Discus Throw,GRE,,Panagiotis Paraskevopoulos,Sotirios Versis,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2101,Cycling Men's Sprint,FRA,Paul (-nossam); Paul Masson,,Marie Flameng; Marie Lon Flameng,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2101,Cycling Men's Sprint,GRE,,Stamatios Nikolopoulos,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2354,Cycling Men's 333 metres Time Trial,AUT,,,Adolf Schmal; Felix Schmal,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2354,Cycling Men's 333 metres Time Trial,FRA,Paul (-nossam); Paul Masson,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2354,Cycling Men's 333 metres Time Trial,GRE,,Stamatios Nikolopoulos,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2386,Gymnastics Men's Rope Climbing,GER,,,Fritz Hofmann,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2386,Gymnastics Men's Rope Climbing,GRE,Nikolaos Andriakopoulos,Thomas Xenakis,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,241,"Sabre, Individual, Men (Olympic)",GRE,Ioannis Georgiadis,Tilemachos Karakalos,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2425,"Weightlifting Men's Unlimited, One Hand",DEN,,Alexander Jensen; Viggo Jensen,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2425,"Weightlifting Men's Unlimited, One Hand",GBR,Launceston Elliot,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2425,"Weightlifting Men's Unlimited, One Hand",GRE,,,Alexandros Nikolopoulos,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2427,"Fencing Men's Foil, Masters, Individual",FRA,,Joanni Perronet,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2427,"Fencing Men's Foil, Masters, Individual",GRE,Leon Pyrgos; Leonidas Pyrgos,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2448,Cycling Men's 100 kilometres,FRA,Marie Flameng; Marie Lon Flameng,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2448,Cycling Men's 100 kilometres,GRE,,Georgios Koletis,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2455,"Swimming Men's 1,200 metres Freestyle",GRE,,Ioannis Andreou,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2455,"Swimming Men's 1,200 metres Freestyle",HUN,Alfrd (Arnold-) Hajs (Guttmann-); Alfrd (guttmann-),,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,246,"Sprint, Men (Olympic)",FRA,Paul Masson,,Léon Flameng,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,246,"Sprint, Men (Olympic)",GRE,,Stamatios Nikolopoulos,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2533,"Shooting Men's Military Rifle, 200 metres",GRE,Pantelis Karasevdas,Pavlos Pavlidis,Nikolaos Trikoupis,6,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2574,"Gymnastics Men's Parallel Bars, Teams",GER,Alfred Flatow; Carl Schuhmann; Conrad Bcker; Conrad Helmut Fritz Bcker; Fritz Manteuffel; Fritz Schuft; Georg Hilmar; Georg Otto Hilmar; Gustav Flatow; Gustav Schuft; Hermann Otto Ludwig Weingrtner; Hermann Weingrtner; Julius Manteuffel; Karl Neukirch; Richard Rstel,,,20,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2574,"Gymnastics Men's Parallel Bars, Teams",GRE,,,Dimitrios Loundras; Filippos Karvelas,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2575,"Gymnastics Men's Horizontal Bar, Teams",GER,Alfred Flatow; Carl Schuhmann; Conrad Bcker; Conrad Helmut Fritz Bcker; Fritz Manteuffel; Fritz Schuft; Georg Hilmar; Georg Otto Hilmar; Gustav Flatow; Gustav Schuft; Hermann Otto Ludwig Weingrtner; Hermann Weingrtner; Julius Manteuffel; Karl Neukirch; Richard Rstel,,,20,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2604,"Weightlifting Men's Unlimited, Two Hands",DEN,Alexander Jensen; Viggo Jensen,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2604,"Weightlifting Men's Unlimited, Two Hands",GBR,,Launceston Elliot,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2604,"Weightlifting Men's Unlimited, Two Hands",GRE,,,Sotirios Versis,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2635,"Shooting Men's Free Pistol, 30 metres",USA,Sumner Paine,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2635,"Shooting Men's Free Pistol, 30 metres",DEN,,Holger Nielsen,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2635,"Shooting Men's Free Pistol, 30 metres",GRE,,,Ioannis Frangoudis,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2636,"Shooting Men's Military Pistol, 25 metres",USA,John Paine,Sumner Paine,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2636,"Shooting Men's Military Pistol, 25 metres",GRE,,,Nikolaos Dorakis,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2637,Swimming Men's 100 metres Freestyle For Sailors,GRE,Ioannis Malokinis,"Spyridon Khazapis; Spyridon P. ""Spyros"" Khazapis",Dimitrios Drivas,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2641,"Wrestling Men's Unlimited Class, Greco-Roman",GER,Carl Schuhmann,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2641,"Wrestling Men's Unlimited Class, Greco-Roman",GRE,,Georgios Tsitas,Stefanos Khristopoulos,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2644,"Cycling Men's 10,000 metres",AUT,,,Adolf Schmal; Felix Schmal,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2644,"Cycling Men's 10,000 metres",FRA,Paul (-nossam); Paul Masson,Marie Flameng; Marie Lon Flameng,,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2646,"Shooting Men's Muzzle-Loading Pistol, 25 metres",DEN,,,Holger Nielsen,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2646,"Shooting Men's Muzzle-Loading Pistol, 25 metres",GRE,Ioannis Frangoudis,Georgios Orfanidis,,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2658,Cycling Men's 12-Hours Race,AUT,Adolf Schmal; Felix Schmal,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2658,Cycling Men's 12-Hours Race,GBR,,Frederick Keeping,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2659,Swimming Men's 500 metres Freestyle,AUT,Paul (-newman); Paul Neumann,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,2659,Swimming Men's 500 metres Freestyle,GRE,,Antonios Pepanos,Efstathios Khorafas,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,286,"333⅓ metres Time Trial, Men (Olympic)",FRA,Paul Masson,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,286,"333⅓ metres Time Trial, Men (Olympic)",GRE,,Stamatios Nikolopoulos,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,287,"100 kilometres, Men (Olympic)",FRA,Léon Flameng,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,287,"100 kilometres, Men (Olympic)",GRE,,Georgios Koletis,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,313,"10,000 metres, Men (Olympic)",FRA,Paul Masson,Léon Flameng,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,322,"12-Hours Race, Men (Olympic)",GBR,,Frederick Keeping,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,334,"333⅓ metres Time Trial, Men (Olympic)",AUT,,,Adolf Schmal,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,335,"10,000 metres, Men (Olympic)",AUT,,,Adolf Schmal,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,337,"12-Hours Race, Men (Olympic)",AUT,Adolf Schmal,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,358,"Foil, Individual, Men (Olympic)",FRA,Eugène Henry Gravelotte,Henri Callot,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,358,"Foil, Individual, Men (Olympic)",GRE,,,Alexandros  Vouros; Periklis Pierrakos-Mavromichalis,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,383,"Shot Put, Men (Olympic)",USA,Bob Garrett,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,383,"Shot Put, Men (Olympic)",GRE,,Miltiadis Gouskos,Georgios Papasideris,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,393,"Discus Throw, Men (Olympic)",USA,Bob Garrett,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,393,"Discus Throw, Men (Olympic)",GRE,,Panagiotis Paraskevopoulos,Sotirios Versis,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,412,"100 metres Freestyle, Men (Olympic)",AUT,,Otto Herschmann,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,412,"100 metres Freestyle, Men (Olympic)",HUN,Alfréd Hajós,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,413,"500 metres Freestyle, Men (Olympic)",AUT,Paul Neumann,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,413,"500 metres Freestyle, Men (Olympic)",GRE,,Antonios Pepanos,Efstathios Chorafas,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,426,"Foil, Masters, Individual, Men (Olympic)",FRA,,Joanni Perronet,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,426,"Foil, Masters, Individual, Men (Olympic)",GRE,Leon Pyrgos,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,43,"100 metres, Men (Olympic)",USA,Thomas Burke; Tom Burke,,Francis Lane; Frank Lane,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,43,"100 metres, Men (Olympic)",GER,,Fritz Hofmann,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,43,"100 metres, Men (Olympic)",HUN,,,Alajos (-szokol); Alajos (Aljoz) Szokoly (-Szokol); Alajos Szokoly,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,44,"400 metres, Men (Olympic)",USA,Tom Burke,Herbert Jamison,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,44,"400 metres, Men (Olympic)",GBR,,,Charles Gmelin,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,45,"800 metres, Men (Olympic)",AUS,Teddy Flack,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,45,"800 metres, Men (Olympic)",GRE,,,Dimitrios Golemis,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,45,"800 metres, Men (Olympic)",HUN,,Nándor Dáni,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,46,"110 metres Hurdles, Men (Olympic)",USA,Tom Curtis,,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,46,"110 metres Hurdles, Men (Olympic)",GBR,,Grantley Goulding,,1,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,47,"High Jump, Men (Olympic)",USA,Ellery Clark,Bob Garrett; James B. Connolly,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,48,"Pole Vault, Men (Olympic)",USA,Bill Hoyt,Albert Tyler,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,48,"Pole Vault, Men (Olympic)",GRE,,,Evangelos Damaskos; Ioannis Theodoropoulos,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,49,"Long Jump, Men (Olympic)",USA,Ellery Clark,Bob Garrett,James B. Connolly,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,491,"Horse Vault, Men (Olympic)",SUI,,Jules Zutter; Louis Zutter,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,491,"Horse Vault, Men (Olympic)",GER,Carl Schuhmann,,Hermann Otto Ludwig Weingrtner; Hermann Weingrtner; Hermann Weingärtner,4,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,492,"Parallel Bars, Men (Olympic)",SUI,,Jules Zutter; Louis Zutter,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,492,"Parallel Bars, Men (Olympic)",GER,Alfred Flatow,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,493,"Horizontal Bar, Men (Olympic)",GER,Hermann Otto Ludwig Weingrtner; Hermann Weingrtner; Hermann Weingärtner,Alfred Flatow,,5,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,494,"Rings, Men (Olympic)",GER,,Hermann Otto Ludwig Weingrtner; Hermann Weingrtner; Hermann Weingärtner,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,494,"Rings, Men (Olympic)",GRE,Ioannis Mitropoulos,,Petros Persakis,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,495,"Pommelled Horse, Men (Olympic)",SUI,Jules Zutter; Louis Zutter,,,2,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
1,1896,495,"Pommelled Horse, Men (Olympic)",GER,,Hermann Otto Ludwig Weingrtner; Hermann Weingrtner; Hermann Weingärtner,,3,REVIEW,"Team medals are grouped by edition, event and NOC; no athlete-level inflation is inferred.",IOC Olympic results
