id_edicion,anio,temporada,id_sede,sede,estado,motivo,fuente_oficial
43,2000,Summer,36,Sydney,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
44,2002,Winter,37,Salt Lake City,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
45,2004,Summer,1,Athina,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
46,2006,Winter,38,Torino,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
47,2008,Summer,39,Beijing,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
48,2010,Summer Youth,,,MATCH,Youth Olympic Games are preserved as explicit edition categories.,IOC Olympic Hosts 1896-2034
49,2010,Winter,40,Vancouver,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
50,2012,Summer,4,London,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
51,2012,Winter Youth,,,MATCH,Youth Olympic Games are preserved as explicit edition categories.,IOC Olympic Hosts 1896-2034
52,2014,Summer Youth,,,MATCH,Youth Olympic Games are preserved as explicit edition categories.,IOC Olympic Hosts 1896-2034
53,2014,Winter,41,Sochi,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
54,2016,Summer,42,Rio de Janeiro,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
55,2016,Winter Youth,,,MATCH,Youth Olympic Games are preserved as explicit edition categories.,IOC Olympic Hosts 1896-2034
56,2018,Summer Youth,,,MATCH,Youth Olympic Games are preserved as explicit edition categories.,IOC Olympic Hosts 1896-2034
57,2018,Winter,,,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
58,2020,Summer,20,Tokyo,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
59,2020,Winter Youth,,,MATCH,Youth Olympic Games are preserved as explicit edition categories.,IOC Olympic Hosts 1896-2034
60,2022,Winter,,,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
61,2024,Summer,2,Paris,MATCH,"Edition is structurally represented by year, category and venue relation.",IOC Olympic Hosts 1896-2034
