grupo,nombre_normalizado,sexo,ids_atleta,cantidad_ids,exceso_potencial,nombres_observados,fechas_nacimiento_observadas,nocs_observados,ediciones_observadas,participaciones_grupo,completitud_por_id,clasificacion,accion,motivo
carlosmonterroso|Male,carlosmonterroso,Male,25430;302036;302037;302038,4,3,Carlos Monterroso,1948-07-28,GUA,30;32;34;36,4,25430:9;302036:0;302037:0;302038:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
christaschumannlottmann|Female,christaschumannlottmann,Female,70377;299416,2,1,Christa Schumann-Lottmann || Christa Schumann-lottmann,1964-05-03,GUA,34,6,70377:6;299416:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
christianbobadilla|Male,christianbobadilla,Male,260318;260319,2,1,Christian Bobadilla,,GUA,47;50,2,260318:0;260319:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
edgarvillagarn|Male,edgarvillagarn,Male,274646;274647,2,1,Edgar Villagarn,,GUA,32;34,2,274646:0;274647:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
eduardopaniagua|Male,eduardopaniagua,Male,260336;260337;260338,3,2,Eduardo Paniagua,,GUA,18,3,260336:0;260337:0;260338:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
edvinvzquez|Male,edvinvzquez,Male,318996;318997,2,1,Edvin Vzquez,,GUA,36,2,318996:0;318997:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
emiliooliva|Male,emiliooliva,Male,296581;296582,2,1,Emilio Oliva,,GUA,34,2,296581:0;296582:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
erickgarca|Male,erickgarca,Male,192592;192593,2,1,Erick Garca,,CAN;ESP;GUA,50;54;58,4,192592:0;192593:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
ernestodegenhart|Male,ernestodegenhart,Male,213693;213694;213695;213696;213697,5,4,Ernesto Degenhart,,GUA,34,5,213693:0;213694:0;213695:0;213696:0;213697:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
evaristopiril|Male,evaristopiril,Male,278870;278871,2,1,Evaristo Piril,,GUA,26,2,278870:0;278871:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
fernandolara|Male,fernandolara,Male,264736;264737;264738;264739,4,3,Fernando Lara,,GUA,34,4,264736:0;264737:0;264738:0;264739:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
fernandomarroquin|Male,fernandomarroquin,Male,15386;47665,2,1,Fernando Marroquín,1919-01-01;1968-04-19,GUA,18;34,7,15386:4;47665:6,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
franciscoarribas|Male,franciscoarribas,Male,293830;293831;293832;293833;293834,5,4,Francisco Arribas,,GUA,30;32;34;38;41,5,293830:0;293831:0;293832:0;293833:0;293834:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
franciscoguzmn|Male,franciscoguzmn,Male,297086;297087;297088,3,2,Francisco Guzmn,,GUA,18;26,3,297086:0;297087:0;297088:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
franciscoluna|Male,franciscoluna,Male,210172;210173,2,1,Francisco Luna,,GUA,26,2,210172:0;210173:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
giselavalentn|Female,giselavalentn,Female,271807;271808;271809;271810,4,3,Gisela Valentn,,GUA,45;47,4,271807:0;271808:0;271809:0;271810:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
graviolaewing|Female,graviolaewing,Female,70374;220763,2,1,Graviola Ewing,1930-09-06,GUA,18,5,70374:6;220763:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
gustavomartnez|Male,gustavomartnez,Male,265171;265172,2,1,Gustavo Martnez,,GUA,18,2,265171:0;265172:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
gustavoortz|Male,gustavoortz,Male,201080;201081;201082;201083;201084;201085;201086;201087,8,7,Gustavo Ortz,,GUA,38,8,201080:0;201081:0;201082:0;201083:0;201084:0;201085:0;201086:0;201087:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
gustavoramrez|Male,gustavoramrez,Male,173313;289629,2,1,Gustavo Ramrez,,GUA,26,3,173313:2;289629:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
helderquintana|Male,helderquintana,Male,313822;313823;313824;313825;313826;313827;313828,7,6,Helder Quintana,,GUA,38,7,313822:0;313823:0;313824:0;313825:0;313826:0;313827:0;313828:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
hugomolina|Male,hugomolina,Male,226483;226484,2,1,Hugo Molina,,GUA,34,2,226483:0;226484:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
jaimecastaeda|Male,jaimecastaeda,Male,288991;288992,2,1,Jaime Castaeda,,GUA,50;54,2,288991:0;288992:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
javiertubac|Male,javiertubac,Male,290322;290323,2,1,Javier Tubac,,GUA,26,2,290322:0;290323:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
jorgenufio|Male,jorgenufio,Male,240497;240498,2,1,Jorge Nufio,,GUA,26,2,240497:0;240498:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
josalonzo|Male,josalonzo,Male,186645;186646,2,1,Jos Alonzo,,AUS;GER;GUA,34;58,4,186645:0;186646:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
josbarillas|Male,josbarillas,Male,192240;192241,2,1,Jos Barillas,,CHN;GUA,18;58,4,192240:0;192241:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
joscruz|Male,joscruz,Male,226542;226543,2,1,Jos Cruz,,GUA,26,2,226542:0;226543:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
josgabriel|Male,josgabriel,Male,226537;226538;226539;226540,4,3,Jos Gabriel,,GUA,45;47;50;54,4,226537:0;226538:0;226539:0;226540:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
josherbruger|Male,josherbruger,Male,268263;268264;268265,3,2,Jos Herbruger,,GUA,30;32;34,3,268263:0;268264:0;268265:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
josortiz|Male,josortiz,Male,236428;236429,2,1,Jos Ortiz,,GUA,26,2,236428:0;236429:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
jospaz|Male,jospaz,Male,229329;229330,2,1,Jos Paz,,GUA,18,2,229329:0;229330:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
josros|Male,josros,Male,295886;295887,2,1,Jos Ros,,GUA,43;45,2,295886:0;295887:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
jossnchez|Male,jossnchez,Male,243914;243915,2,1,Jos Snchez,,GUA,18,2,243914:0;243915:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
juanagero|Male,juanagero,Male,262523;262524;262525,3,2,Juan Agero,,GUA,47;50;54,3,262523:0;262524:0;262525:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
juanarribas|Male,juanarribas,Male,293779;293780;293781,3,2,Juan Arribas,,GUA,41;43;47,3,293779:0;293780:0;293781:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
juannovella|Male,juannovella,Male,262520;262521;262522,3,2,Juan Novella,,GUA,30;32;34,3,262520:0;262521:0;262522:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
julioelias|Male,julioelias,Male,288852;288853;288854;288855;288856;288857,6,5,Julio Elias,,GUA,26;28,6,288852:0;288853:0;288854:0;288855:0;288856:0;288857:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
julioguzmn|Male,julioguzmn,Male,226567;226568,2,1,Julio Guzmn,,GUA,26;30,2,226567:0;226568:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
juliosicn|Male,juliosicn,Male,265246;265247;265248,3,2,Julio Sicn,,GUA,41;43;45,3,265246:0;265247:0;265248:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
karenslowingaceituno|Female,karenslowingaceituno,Female,47656;303693;303694;303695;303696,5,4,Karen Slowing-Aceituno || Karen Slowing-aceituno,1968-12-22,GUA,34,13,47656:6;303693:0;303694:0;303695:0;303696:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
kevinbuezo|Male,kevinbuezo,Male,208669;208670;208671,3,2,Kevin Buezo,,GUA,47;50;54,3,208669:0;208670:0;208671:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
luisadaz|Female,luisadaz,Female,287257;287258;287259;287260;287261,5,4,Luisa Daz,,GUA,38,5,287257:0;287258:0;287259:0;287260:0;287261:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
luisbechinie|Male,luisbechinie,Male,226574;226575;226576;226577,4,3,Luis Bechinie,,GUA,41;43;45;47,4,226574:0;226575:0;226576:0;226577:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
luismartinez|Male,luismartinez,Male,70390;131511,2,1,Luis Martínez,1966-11-19;1995-12-11,GUA,41;54;58,3,70390:6;131511:9,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
luistoj|Male,luistoj,Male,267762;267763,2,1,Luis Toj,,GUA,41;43,2,267762:0;267763:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
luisvelsquez|Male,luisvelsquez,Male,319168;319169,2,1,Luis Velsquez,,GUA,18,2,319168:0;319169:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
luisvillavicencio|Male,luisvillavicencio,Male,25450;320284,2,1,Luis Villavicencio,1950-02-03,GUA,26;30,3,25450:9;320284:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
lvarolpez|Male,lvarolpez,Male,223947;223948;223949,3,2,lvaro Lpez,,GUA,43;45,3,223947:0;223948:0;223949:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
manuelochoa|Male,manuelochoa,Male,292795;292796,2,1,Manuel Ochoa,,GUA,50;54,2,292795:0;292796:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
marafloreswurmser|Female,marafloreswurmser,Female,223474;223475;223476;223477;223478,5,4,Mara Flores-wurmser,,GUA,36,5,223474:0;223475:0;223476:0;223477:0;223478:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
marcogirn|Male,marcogirn,Male,228578;228579,2,1,Marco Girn,,GUA,18,2,228578:0;228579:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
mariooscarzachrisson|Male,mariooscarzachrisson,Male,42391;327748,2,1,Mario-Oscar Zachrisson || Mario-Óscar Zachrisson,1952-07-19,GUA,32;34,5,42391:6;327748:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
maxbuhler|Male,maxbuhler,Male,257032;257033,2,1,Max Buhler,,GUA,34;36,2,257032:0;257033:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
mayraprez|Female,mayraprez,Female,236586;236587,2,1,Mayra Prez,,GUA,50;54,2,236586:0;236587:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
mirnaflores|Female,mirnaflores,Female,279941;279942,2,1,Mirna Flores,,GUA,50;54,2,279941:0;279942:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
mynorfuentes|Male,mynorfuentes,Male,289699;289700,2,1,Mynor Fuentes,,GUA,38;41,2,289699:0;289700:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
ngelmejia|Male,ngelmejia,Male,185904;185905,2,1,ngel Mejia,,GUA;TUN;VEN,26;58,4,185904:0;185905:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
oscargonzlez|Male,oscargonzlez,Male,268384;268385,2,1,Oscar Gonzlez,,GUA,43,2,268384:0;268385:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
ottohernndez|Male,ottohernndez,Male,200305;200306,2,1,Otto Hernndez,,GUA,26,2,200305:0;200306:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
ramirobenavides|Male,ramirobenavides,Male,47657;194589;194590,3,2,Ramiro Benavides,1954-01-03,GUA,26,5,47657:8;194589:0;194590:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
ricardoalburez|Male,ricardoalburez,Male,285343;285344,2,1,Ricardo Alburez,,GUA,30;36,2,285343:0;285344:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
ritaluna|Female,ritaluna,Female,212799;297408,2,1,Rita Luna,,GUA,30;47,2,212799:0;297408:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
robertoabril|Male,robertoabril,Male,197945;197946;197947;197948;197949;197950;197951;197952,8,7,Roberto Abril,,GUA,38;41,8,197945:0;197946:0;197947:0;197948:0;197949:0;197950:0;197951:0;197952:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
robertogranados|Male,robertogranados,Male,47663;230495;230496;230497;230498;230499,6,5,Roberto Granados,1968-08-18,GUA,34,11,47663:6;230495:0;230496:0;230497:0;230498:0;230499:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
rodrigocastillo|Male,rodrigocastillo,Male,255969;255970;255971;255972,4,3,Rodrigo Castillo,,GUA,34,4,255969:0;255970:0;255971:0;255972:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
rubnriveiro|Male,rubnriveiro,Male,304361;304362,2,1,Rubn Riveiro,,GUA,18,2,304361:0;304362:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
saturninocceres|Male,saturninocceres,Male,295256;295257,2,1,Saturnino Cceres,,GUA,26,2,295256:0;295257:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
scarsandoval|Male,scarsandoval,Male,188647;188648,2,1,scar Sandoval,,GUA;VEN,36;58,4,188647:0;188648:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
sergiogmez|Male,sergiogmez,Male,296931;296932;296933;296934;296935;296936;296937,7,6,Sergio Gmez,,GUA,38;41;43;50,7,296931:0;296932:0;296933:0;296934:0;296935:0;296936:0;296937:0,REVIEW_NAME_ONLY,NO_FUSIONAR_SIN_EVIDENCIA_BIOGRAFICA,Coincidencia de nombre normalizado y sexo; las fechas son faltantes o no permiten demostrar identidad única.
