fuente,archivo,columna,problema_detectado,regla_aplicada,justificacion,valores_afectados,operaciones_procesadas
fuente1,data/raw/fuente1/clean/bios_locs.csv,long,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,75955
fuente1,data/raw/fuente1/clean/bios_locs.csv,long,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,1309,69545
fuente1,data/raw/fuente1/clean/bios_locs.csv,weight_kg,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,43430
fuente1,data/raw/fuente1/clean/bios_locs.csv,weight_kg,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,102070,102070
fuente1,data/raw/fuente1/clean/noc_regions.csv,notes,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,209
fuente1,data/raw/fuente1/clean/populations.csv,1960,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1960,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1960-2023,población en formato ancho,"Convertir columnas anuales a country_name, country_code, year y population.",Preparar la relación 1:N de POBLACION sin eliminar agregados.,0,17024
fuente1,data/raw/fuente1/clean/populations.csv,1961,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1961,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1962,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1962,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1963,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1963,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1964,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1964,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1965,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1965,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1966,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1966,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1967,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1967,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1968,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1968,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1969,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1969,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1970,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1970,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1971,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1971,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1972,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1972,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1973,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1973,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1974,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1974,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1975,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1975,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1976,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1976,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1977,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1977,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1978,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1978,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1979,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1979,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1980,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1980,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1981,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1981,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1982,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1982,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1983,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1983,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1984,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1984,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1985,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1985,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1986,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1986,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1987,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1987,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1988,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1988,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1989,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,2
fuente1,data/raw/fuente1/clean/populations.csv,1989,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,264,264
fuente1,data/raw/fuente1/clean/populations.csv,1990,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1990,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1991,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1991,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1992,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1992,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1993,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1993,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1994,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1994,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1995,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1995,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1996,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1996,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1997,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1997,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1998,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1998,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,1999,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,1999,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2000,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2000,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2001,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2001,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2002,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2002,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2003,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2003,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2004,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2004,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2005,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2005,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2006,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2006,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2007,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2007,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2008,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
fuente1,data/raw/fuente1/clean/populations.csv,2008,valor numérico representado como texto,Convertir a número cuando la conversión sea segura.,Permitir rangos y consultas numéricas sin borrar valores no convertibles.,265,265
fuente1,data/raw/fuente1/clean/populations.csv,2009,marcadores de ausencia,Normalizar vacío a NULL y aceptar NA/N/A/null/None solo en la matriz explícita por columna.,Evitar sustituciones globales; No medal se procesa exclusivamente por la regla de medallas.,0,1
