id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon,fuentes_a,fuentes_b,coexistencia_misma_fuente,tokens_extra_a,tokens_extra_b,perdida_multiplicidad,clasificacion_final,razon_refinada,semantic_key_a,semantic_key_b,modalidades_a,modalidades_b,modificadores_a,modificadores_b,clasificacion_phase4,razon_phase4
2953,Men's Synchronised 10m Platform Team,3013,Men's Synchronised 10m Platform,Aquatics,Diving,MEN,MEN,0.925373,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""team""], [""10m""], [], [""10m"", ""platform"", ""synchronised""]]","[""men"", false, false, [], [""10m""], [], [""10m"", ""platform"", ""synchronised""]]",team,,10m | platform | synchronised,10m | platform | synchronised,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
2991,Men's Synchronised 3m Springboard Team,3015,Men's Synchronised 3m Springboard,Aquatics,Diving,MEN,MEN,0.929577,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""team""], [""3m""], [], [""3m"", ""springboard"", ""synchronised""]]","[""men"", false, false, [], [""3m""], [], [""3m"", ""springboard"", ""synchronised""]]",team,,3m | springboard | synchronised,3m | springboard | synchronised,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
214,"Springboard, Women (Olympic)",809,"Synchronized Springboard, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.793651,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""springboard""]]","[""women"", false, false, [], [], [], [""springboard"", ""synchronized""]]",,,springboard,springboard | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
469,"Platform, Women (Olympic)",470,"Synchronized Platform, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.77193,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""platform""]]","[""women"", false, false, [], [], [], [""platform"", ""synchronized""]]",,,platform,platform | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
807,"100 metres Freestyle, Women (Olympic)",890,"4 × 100 metres Freestyle Relay, Women (Olympic)",Aquatics,Diving,WOMEN,WOMEN,0.871795,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1912', 'Summer'), ('1920', 'Summer'), ('1924', 'Summer'), ('1928', 'Summer'), ('1932', 'Summer'), ('1936', 'Summer'), ('1948', 'Summer'), ('1952', 'Summer'), ('1956', 'Summer'), ('1960', 'Summer'), ('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [""freestyle""], [], [], [""metres""]]","[""women"", false, false, [""freestyle"", ""relay""], [], [], [""metres"", ""x""]]",freestyle,freestyle | relay,metres,metres | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2045,Diving Women's Platform,2369,Diving Women's Synchronized Platform,Aquatics,Diving,WOMEN,WOMEN,0.779661,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""platform""]]","[""women"", false, false, [], [], [], [""platform"", ""synchronized""]]",,,platform,platform | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2118,Diving Women's Springboard,2119,Diving Women's Synchronized Springboard,Aquatics,Diving,WOMEN,WOMEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente2 | fuente3,fuente2 | fuente3,"fuente2:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')] | fuente3:[('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer')]",,synchronized,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [], [], [""springboard""]]","[""women"", false, false, [], [], [], [""springboard"", ""synchronized""]]",,,springboard,springboard | synchronized,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2723,Women's 3m Springboard,3104,Women's Synchronised 3m Springboard,Aquatics,Diving,WOMEN,WOMEN,0.77193,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [""3m""], [], [""3m"", ""springboard""]]","[""women"", false, false, [], [""3m""], [], [""3m"", ""springboard"", ""synchronised""]]",,,3m | springboard,3m | springboard | synchronised,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2724,Women's Synchronised 3m Springboard Team,3104,Women's Synchronised 3m Springboard,Aquatics,Diving,WOMEN,WOMEN,0.933333,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [""team""], [""3m""], [], [""3m"", ""springboard"", ""synchronised""]]","[""women"", false, false, [], [""3m""], [], [""3m"", ""springboard"", ""synchronised""]]",team,,3m | springboard | synchronised,3m | springboard | synchronised,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
2788,Women's 10m Platform,3014,Women's Synchronised 10m Platform,Aquatics,Diving,WOMEN,WOMEN,0.754717,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,"fuente3:[('2024', 'Summer')]",,synchronised,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""women"", false, false, [], [""10m""], [], [""10m"", ""platform""]]","[""women"", false, false, [], [""10m""], [], [""10m"", ""platform"", ""synchronised""]]",,,10m | platform,10m | platform | synchronised,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
2789,Women's Synchronised 10m Platform Team,3014,Women's Synchronised 10m Platform,Aquatics,Diving,WOMEN,WOMEN,0.929577,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente3,fuente3,,team,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""women"", false, false, [""team""], [""10m""], [], [""10m"", ""platform"", ""synchronised""]]","[""women"", false, false, [], [""10m""], [], [""10m"", ""platform"", ""synchronised""]]",team,,10m | platform | synchronised,10m | platform | synchronised,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
412,"100 metres Freestyle, Men (Olympic)",694,"100 metres Freestyle, Men (Intercalated)",Aquatics,Swimming,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,intercalated,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""intercalated"", ""metres""]]",freestyle,freestyle,metres,intercalated | metres,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
412,"100 metres Freestyle, Men (Olympic)",810,"4 × 100 metres Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1964', 'Summer'), ('1968', 'Summer'), ('1972', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle"", ""relay""], [], [], [""metres"", ""x""]]",freestyle,freestyle | relay,metres,metres | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
412,"100 metres Freestyle, Men (Olympic)",881,"100 metres Freestyle For Sailors, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.842105,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1896', 'Summer')]",,for sailors,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""for"", ""metres"", ""sailors""]]",freestyle,freestyle,metres,for | metres | sailors,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
413,"500 metres Freestyle, Men (Olympic)",782,"1,500 metres Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.969697,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,1,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""metres""]]",freestyle,freestyle,metres,metres,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
418,"400 metres Freestyle, Men (Olympic)",695,"400 metres Freestyle, Men (Intercalated)",Aquatics,Swimming,MEN,MEN,0.753623,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,intercalated,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""intercalated"", ""metres""]]",freestyle,freestyle,metres,intercalated | metres,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
696,"1 mile Freestyle, Men (Intercalated)",830,"1 mile Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.754098,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,intercalated,,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""intercalated"", ""mile""]]","[""men"", false, false, [""freestyle""], [], [], [""mile""]]",freestyle,freestyle,intercalated | mile,mile,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
779,"200 metres Freestyle, Men (Olympic)",781,"4 × 200 metres Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1968', 'Summer'), ('1972', 'Summer'), ('1976', 'Summer'), ('1980', 'Summer'), ('1984', 'Summer'), ('1988', 'Summer'), ('1992', 'Summer'), ('1996', 'Summer'), ('2000', 'Summer'), ('2004', 'Summer'), ('2008', 'Summer'), ('2012', 'Summer'), ('2016', 'Summer'), ('2020', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle"", ""relay""], [], [], [""metres"", ""x""]]",freestyle,freestyle | relay,metres,metres | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
779,"200 metres Freestyle, Men (Olympic)",824,"1,200 metres Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.969697,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,,,1,NO,SAFE_ALIAS,"Mismo deporte, disciplina y género, sin coexistencia en una misma fuente/edición; tokenización compatible.","[""men"", false, false, [""freestyle""], [], [], [""metres""]]","[""men"", false, false, [""freestyle""], [], [], [""metres""]]",freestyle,freestyle,metres,metres,SAFE_EVENT_ALIAS,Mismos atributos semánticos y modificadores discriminantes; la diferencia restante es formato o redundancia del deporte padre.
843,"Underwater Swimming, Men (Olympic)",2434,Swimming Men's Underwater Swimming,Aquatics,Swimming,MEN,MEN,0.584615,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente2 | fuente3,,,swimming,YES,REVIEW_ALIAS,La firma por conjunto oculta multiplicidad de tokens; requiere revisión antes de fusionar.,"[""men"", false, false, [], [], [], [""underwater""]]","[""men"", false, false, [], [], [], [""swimming"", ""underwater""]]",,,underwater,swimming | underwater,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
861,"200 metres Team Swimming, Men (Olympic)",2552,Swimming Men's 200 metres Team Swimming,Aquatics,Swimming,MEN,MEN,0.64,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente.",fuente1,fuente2 | fuente3,,,swimming,YES,REVIEW_ALIAS,La firma por conjunto oculta multiplicidad de tokens; requiere revisión antes de fusionar.,"[""men"", false, false, [""team""], [], [], [""metres""]]","[""men"", false, false, [""team""], [], [], [""metres"", ""swimming""]]",team,team,metres,metres | swimming,REVIEW_EVENT_ALIAS,Difieren modificadores semánticos; la similitud textual no autoriza el alias.
865,"50 yards Freestyle, Men (Olympic)",866,"4 × 50 yards Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, false, [""freestyle""], [], [], [""yards""]]","[""men"", false, false, [""freestyle"", ""relay""], [], [], [""x"", ""yards""]]",freestyle,freestyle | relay,yards,x | yards,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1454,"High Jump, Men (Olympic (non-medal))",1457,"High Jump, Handicap, Men (Olympic (non-medal))",Aquatics,Swimming,MEN,MEN,0.873239,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer')]",,handicap,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, true, [], [], [], [""high"", ""jump"", ""medal""]]","[""men"", false, true, [], [], [], [""handicap"", ""high"", ""jump"", ""medal""]]",,,high | jump | medal,handicap | high | jump | medal,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1456,"Pole Vault, Men (Olympic (non-medal))",1458,"Pole Vault, Handicap, Men (Olympic (non-medal))",Aquatics,Swimming,MEN,MEN,0.876712,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('1904', 'Summer')]",,handicap,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", false, true, [], [], [], [""medal"", ""pole"", ""vault""]]","[""men"", false, true, [], [], [], [""handicap"", ""medal"", ""pole"", ""vault""]]",,,medal | pole | vault,handicap | medal | pole | vault,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
1501,"100 metres Freestyle, Boys (YOG)",1594,"4 × 100 metres Freestyle Relay, Boys (YOG)",Aquatics,Swimming,MEN,MEN,0.852941,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.,fuente1,fuente1,"fuente1:[('2010', 'Summer Youth'), ('2014', 'Summer Youth')]",,4 relay x,NO,CONFLICT_ALIAS,Ambos nombres aparecen en la misma fuente y edición; podrían ser pruebas distintas coexistentes.,"[""men"", true, false, [""freestyle""], [], [], [""boys"", ""metres""]]","[""men"", true, false, [""freestyle"", ""relay""], [], [], [""boys"", ""metres"", ""x""]]",freestyle,freestyle | relay,boys | metres,boys | metres | x,CONFLICT_EVENT_ALIAS,Coexistencia explícita en la misma fuente/edición; no se fusiona aunque el texto sea similar.
