evento_origen,evento_canonico,regla_aplicada,confianza,evidencia
2595,88,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Target Archery, 33 metres, Individual, Men (Olympic) <-> Archery Men's Target Archery, 33 metres, Individual | Archery / Archery / MEN"
2596,89,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Target Archery, 50 metres, Individual, Men (Olympic) <-> Archery Men's Target Archery, 50 metres, Individual | Archery / Archery / MEN"
2753,116,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team, Mixed (Olympic) <-> Mixed Team | Archery / Archery / MIXED"
2752,71,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Individual, Women (Olympic) <-> Women's Individual | Archery / Archery / WOMEN"
2865,72,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team, Women (Olympic) <-> Women's Team | Archery / Archery / WOMEN"
2810,47,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"High Jump, Men (Olympic) <-> Men's High Jump | Athletics / Athletics / MEN"
2982,48,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Pole Vault, Men (Olympic) <-> Men's Pole Vault | Athletics / Athletics / MEN"
2979,49,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Long Jump, Men (Olympic) <-> Men's Long Jump | Athletics / Athletics / MEN"
2783,50,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Triple Jump, Men (Olympic) <-> Men's Triple Jump | Athletics / Athletics / MEN"
2700,96,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Marathon, Men (Olympic) <-> Men's Marathon | Athletics / Athletics / MEN"
2959,157,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Decathlon, Men (Olympic) <-> Men's Decathlon | Athletics / Athletics / MEN"
2736,383,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Shot Put, Men (Olympic) <-> Men's Shot Put | Athletics / Athletics / MEN"
2951,393,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Discus Throw, Men (Olympic) <-> Men's Discus Throw | Athletics / Athletics / MEN"
2869,395,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Hammer Throw, Men (Olympic) <-> Men's Hammer Throw | Athletics / Athletics / MEN"
2696,398,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Javelin Throw, Men (Olympic) <-> Men's Javelin Throw | Athletics / Athletics / MEN"
2999,153,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Triple Jump, Women (Olympic) <-> Women's Triple Jump | Athletics / Athletics / WOMEN"
2971,496,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Pole Vault, Women (Olympic) <-> Women's Pole Vault | Athletics / Athletics / WOMEN"
2912,927,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Long Jump, Women (Olympic) <-> Women's Long Jump | Athletics / Athletics / WOMEN"
2888,1017,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Javelin Throw, Women (Olympic) <-> Women's Javelin Throw | Athletics / Athletics / WOMEN"
2787,1018,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Heptathlon, Women (Olympic) <-> Women's Heptathlon | Athletics / Athletics / WOMEN"
2986,1024,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"High Jump, Women (Olympic) <-> Women's High Jump | Athletics / Athletics / WOMEN"
2847,1026,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Discus Throw, Women (Olympic) <-> Women's Discus Throw | Athletics / Athletics / WOMEN"
2866,1029,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Marathon, Women (Olympic) <-> Women's Marathon | Athletics / Athletics / WOMEN"
2762,1030,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Shot Put, Women (Olympic) <-> Women's Shot Put | Athletics / Athletics / WOMEN"
2872,1032,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Hammer Throw, Women (Olympic) <-> Women's Hammer Throw | Athletics / Athletics / WOMEN"
2725,24,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Singles, Men (Olympic) <-> Men's Singles | Badminton / Badminton / MEN"
3037,34,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Men (Olympic) <-> Men's Doubles | Badminton / Badminton / MEN"
3027,29,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Mixed (Olympic) <-> Mixed Doubles | Badminton / Badminton / MIXED"
3038,28,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Doubles, Women (Olympic) <-> Women's Doubles | Badminton / Badminton / WOMEN"
2707,33,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Singles, Women (Olympic) <-> Women's Singles | Badminton / Badminton / WOMEN"
2106,114,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Baseball, Men (Olympic) <-> Baseball Men's Baseball | Baseball/Softball / Baseball / MEN"
2033,113,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Softball, Women (Olympic) <-> Softball Women's Softball | Baseball/Softball / Softball / WOMEN"
1900,150,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Basketball, Men (Olympic) <-> Basketball Men's Basketball | Basketball / Basketball / MEN"
1982,152,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Basketball, Women (Olympic) <-> Basketball Women's Basketball | Basketball / Basketball / WOMEN"
2351,738,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Skeleton, Men (Olympic) <-> Skeleton Men's Skeleton | Bobsleigh / Skeleton / MEN"
2371,1451,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Skeleton, Women (Olympic) <-> Skeleton Women's Skeleton | Bobsleigh / Skeleton / WOMEN"
2449,344,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Cricket, Men (Olympic) <-> Cricket Men's Cricket | Cricket / Cricket / MEN"
2205,1443,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Curling, Men (Olympic) <-> Curling Men's Curling | Curling / Curling / MEN"
2238,1441,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Curling, Women (Olympic) <-> Curling Women's Curling | Curling / Curling / WOMEN"
2989,1885,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Park, Men (Olympic) <-> Men's Park | Cycling / BMX Freestyle / MEN"
2970,1878,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Park, Women (Olympic) <-> Women's Park | Cycling / BMX Freestyle / WOMEN"
2851,279,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Individual Time Trial, Men (Olympic) <-> Men's Individual Time Trial | Cycling / Cycling Road / MEN"
2666,255,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Individual Time Trial, Women (Olympic) <-> Women's Individual Time Trial | Cycling / Cycling Road / WOMEN"
2940,244,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Sprint, Men (Olympic) <-> Men's Sprint | Cycling / Cycling Track / MEN"
3090,272,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Madison, Men (Olympic) <-> Men's Madison | Cycling / Cycling Track / MEN"
2980,288,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team Sprint, Men (Olympic) <-> Men's Team Sprint Team | Cycling / Cycling Track / MEN"
3102,288,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team Sprint, Men (Olympic) <-> Men's Team Sprint | Cycling / Cycling Track / MEN"
2941,299,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Keirin, Men (Olympic) <-> Men's Keirin | Cycling / Cycling Track / MEN"
2996,301,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Omnium, Men (Olympic) <-> Men's Omnium | Cycling / Cycling Track / MEN"
3099,2976,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,Men's Team Pursuit Team <-> Men's Team Pursuit | Cycling / Cycling Track / MEN
3102,2980,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,Men's Team Sprint Team <-> Men's Team Sprint | Cycling / Cycling Track / MEN
2893,259,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Sprint, Women (Olympic) <-> Women's Sprint | Cycling / Cycling Track / WOMEN"
2894,266,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Keirin, Women (Olympic) <-> Women's Keirin | Cycling / Cycling Track / WOMEN"
2903,267,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team Sprint, Women (Olympic) <-> Women's Team Sprint Team | Cycling / Cycling Track / WOMEN"
3080,267,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team Sprint, Women (Olympic) <-> Women's Team Sprint | Cycling / Cycling Track / WOMEN"
2915,1379,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Omnium, Women (Olympic) <-> Women's Omnium | Cycling / Cycling Track / WOMEN"
2860,1473,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team Pursuit, Women (Olympic) <-> Women's Team Pursuit Team | Cycling / Cycling Track / WOMEN"
3044,1473,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team Pursuit, Women (Olympic) <-> Women's Team Pursuit | Cycling / Cycling Track / WOMEN"
2957,1600,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Madison, Women (Olympic) <-> Women's Madison | Cycling / Cycling Track / WOMEN"
3044,2860,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,Women's Team Pursuit Team <-> Women's Team Pursuit | Cycling / Cycling Track / WOMEN
3080,2903,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,Women's Team Sprint Team <-> Women's Team Sprint | Cycling / Cycling Track / WOMEN
2938,285,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Cross-Country, Men (Olympic) <-> Men's Cross-country | Cycling / Mountain Bike / MEN"
2961,252,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Cross-Country, Women (Olympic) <-> Women's Cross-country | Cycling / Mountain Bike / WOMEN"
2955,8,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Épée, Individual, Men (Olympic) <-> Men's Épée Individual | Fencing / Fencing / MEN"
2722,228,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Sabre, Team, Men (Olympic) <-> Men's Sabre Team | Fencing / Fencing / MEN"
2721,241,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Sabre, Individual, Men (Olympic) <-> Men's Sabre Individual | Fencing / Fencing / MEN"
2731,358,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Foil, Individual, Men (Olympic) <-> Men's Foil Individual | Fencing / Fencing / MEN"
2732,410,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Foil, Team, Men (Olympic) <-> Men's Foil Team | Fencing / Fencing / MEN"
2956,411,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Épée, Team, Men (Olympic) <-> Men's Épée Team | Fencing / Fencing / MEN"
2945,406,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Foil, Individual, Women (Olympic) <-> Women's Foil Individual | Fencing / Fencing / WOMEN"
2946,407,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Foil, Team, Women (Olympic) <-> Women's Foil Team | Fencing / Fencing / WOMEN"
2706,408,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Épée, Individual, Women (Olympic) <-> Women's Épée Individual | Fencing / Fencing / WOMEN"
2968,409,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Épée, Team, Women (Olympic) <-> Women's Épée Team | Fencing / Fencing / WOMEN"
2905,1470,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Sabre, Individual, Women (Olympic) <-> Women's Sabre Individual | Fencing / Fencing / WOMEN"
2906,1471,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Sabre, Team, Women (Olympic) <-> Women's Sabre Team | Fencing / Fencing / WOMEN"
1902,303,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Football, Men (Olympic) <-> Football Men's Football | Football / Football / MEN"
1954,468,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Football, Women (Olympic) <-> Football Women's Football | Football / Football / WOMEN"
2668,490,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Floor Exercise, Men (Olympic) <-> Men's Floor Exercise | Gymnastics / Artistic Gymnastics / MEN"
2672,492,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Parallel Bars, Men (Olympic) <-> Men's Parallel Bars | Gymnastics / Artistic Gymnastics / MEN"
2673,493,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Horizontal Bar, Men (Olympic) <-> Men's Horizontal Bar | Gymnastics / Artistic Gymnastics / MEN"
2670,494,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Rings, Men (Olympic) <-> Men's Rings | Gymnastics / Artistic Gymnastics / MEN"
933,503,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Rope Climbing, Men (Olympic) <-> Rope Climbing, Men () | Gymnastics / Artistic Gymnastics / MEN"
2705,480,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Floor Exercise, Women (Olympic) <-> Women's Floor Exercise | Gymnastics / Artistic Gymnastics / WOMEN"
2703,482,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Uneven Bars, Women (Olympic) <-> Women's Uneven Bars | Gymnastics / Artistic Gymnastics / WOMEN"
2704,483,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Balance Beam, Women (Olympic) <-> Women's Balance Beam | Gymnastics / Artistic Gymnastics / WOMEN"
1987,583,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Handball, Men (Olympic) <-> Handball Men's Handball | Handball / Handball / MEN"
1935,154,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Handball, Women (Olympic) <-> Handball Women's Handball | Handball / Handball / WOMEN"
2019,39,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Hockey, Men (Olympic) <-> Hockey Men's Hockey | Hockey / Hockey / MEN"
1944,338,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Hockey, Women (Olympic) <-> Hockey Women's Hockey | Hockey / Hockey / WOMEN"
1913,425,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Ice Hockey, Men (Olympic) <-> Ice Hockey Men's Ice Hockey | Ice Hockey / Ice Hockey / MEN"
2202,1445,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Ice Hockey, Women (Olympic) <-> Ice Hockey Women's Ice Hockey | Ice Hockey / Ice Hockey / WOMEN"
2717,1494,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Team, Mixed (Olympic) <-> Mixed Team | Judo / Judo / MIXED"
2853,1894,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Kata, Men (Olympic) <-> Men's Kata | Karate / Karate / MEN"
2867,1895,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Kata, Women (Olympic) <-> Women's Kata | Karate / Karate / WOMEN"
2379,212,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Lacrosse, Men (Olympic) <-> Lacrosse Men's Lacrosse | Lacrosse / Lacrosse / MEN"
2967,68,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Individual, Men (Olympic) <-> Men's Individual | Modern Pentathlon / Modern Pentathlon / MEN"
2914,899,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Individual, Women (Olympic) <-> Women's Individual | Modern Pentathlon / Modern Pentathlon / WOMEN"
2396,202,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Polo, Men (Olympic) <-> Polo Men's Polo | Polo / Polo / MEN"
2873,1677,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Park, Men (Olympic) <-> Men's Park | Roller Sports / Skateboarding / MEN"
2907,1888,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Street, Men (Olympic) <-> Men's Street | Roller Sports / Skateboarding / MEN"
2972,1882,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Street, Women (Olympic) <-> Women's Street | Roller Sports / Skateboarding / WOMEN"
2923,1883,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Park, Women (Olympic) <-> Women's Park | Roller Sports / Skateboarding / WOMEN"
3069,633,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Quadruple Sculls, Men (Olympic) <-> Men's Quadruple Sculls | Rowing / Rowing / MEN"
2820,634,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Single Sculls, Men (Olympic) <-> Men's Single Sculls | Rowing / Rowing / MEN"
3061,635,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Double Sculls, Men (Olympic) <-> Men's Double Sculls | Rowing / Rowing / MEN"
3011,637,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Lightweight Double Sculls, Men (Olympic) <-> Lightweight Men's Double Sculls | Rowing / Rowing / MEN"
2739,198,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Single Sculls, Women (Olympic) <-> Women's Single Sculls | Rowing / Rowing / WOMEN"
3063,626,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Double Sculls, Women (Olympic) <-> Women's Double Sculls | Rowing / Rowing / WOMEN"
3035,628,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Lightweight Double Sculls, Women (Olympic) <-> Lightweight Women's Double Sculls | Rowing / Rowing / WOMEN"
3078,641,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Quadruple Sculls, Women (Olympic) <-> Women's Quadruple Sculls | Rowing / Rowing / WOMEN"
2332,203,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Rugby, Men (Olympic) <-> Rugby Men's Rugby | Rugby / Rugby / MEN"
2255,1728,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Rugby Sevens, Men (Olympic) <-> Rugby Sevens Men's Rugby Sevens | Rugby / Rugby Sevens / MEN"
2140,1690,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Rugby Sevens, Women (Olympic) <-> Rugby Sevens Women's Rugby Sevens | Rugby / Rugby Sevens / WOMEN"
3060,1467,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Skiff, Men (Olympic) <-> Men's Skiff | Sailing / Sailing / MEN"
3029,1012,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Multihull, Mixed (Olympic) <-> Mixed Multihull | Sailing / Sailing / MIXED"
3087,1466,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Skiff, Women (Olympic) <-> Women's Skiff | Sailing / Sailing / WOMEN"
2819,670,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Trap, Men (Olympic) <-> Trap Men | Shooting / Shooting / MEN"
2747,681,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Skeet, Men (Olympic) <-> Skeet Men | Shooting / Shooting / MEN"
2841,1386,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Trap, Team, Mixed (Olympic) <-> Trap Mixed Team | Shooting / Shooting / MIXED"
2840,687,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Trap, Women (Olympic) <-> Trap Women | Shooting / Shooting / WOMEN"
2870,724,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Skeet, Women (Olympic) <-> Skeet Women | Shooting / Shooting / WOMEN"
2494,615,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Military Ski Patrol, Men (Olympic) <-> Military Ski Patrol Men's Military Ski Patrol | Skiing / Military Ski Patrol / MEN"
2994,1886,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Combined, Men (Olympic) <-> Men's Combined | Sport Climbing / Sport Climbing / MEN"
2992,1881,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Combined, Women (Olympic) <-> Women's Combined | Sport Climbing / Sport Climbing / WOMEN"
2745,4,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",ALTA,"Singles, Men (Olympic) <-> Men's Singles | Table Tennis / Table Tennis / MEN"
