componente_evento,eventos_originales,evento_canonico,nombres,deporte,disciplina,fuentes,ediciones,participaciones_totales_afectadas,duplicados_preexistentes,extras_preexistentes,duplicados_inducidos_por_alias,extras_mergeables_inducidos,extras_conflictivos_inducidos,atletas_afectados,ediciones_afectadas,razon_semantica
EV500029,77;2618,77,"Pole Archery, Small Birds, Individual, Men (Olympic) | Archery Men's Pole Archery, Small Birds, Individual",archery,archery,fuente1 | fuente2 | fuente3,7,15,0,0,0,0,0,9,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500030,78;2619,78,"Pole Archery, Large Birds, Individual, Men (Olympic) | Archery Men's Pole Archery, Large Birds, Individual",archery,archery,fuente1 | fuente2 | fuente3,7,18,0,0,0,0,0,12,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500031,79;2620,79,"Pole Archery, Small Birds, Team, Men (Olympic) | Archery Men's Pole Archery, Small Birds, Team",archery,archery,fuente1 | fuente2 | fuente3,7,18,0,0,6,6,0,12,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500032,80;2621,80,"Pole Archery, Large Birds, Team, Men (Olympic) | Archery Men's Pole Archery, Large Birds, Team",archery,archery,fuente1 | fuente2 | fuente3,7,18,0,0,6,6,0,12,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500033,87;2663,87,"Target Archery, 28 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 28 metres, Individual",archery,archery,fuente1 | fuente2 | fuente3,7,6,0,0,0,0,0,5,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500034,88;2595,88,"Target Archery, 33 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 33 metres, Individual",archery,archery,fuente1 | fuente2 | fuente3,7,6,0,0,0,0,0,5,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500035,89;2596,89,"Target Archery, 50 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 50 metres, Individual",archery,archery,fuente1 | fuente2 | fuente3,7,6,0,0,0,0,0,5,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500037,113;2033,113,"Softball, Women (Olympic) | Softball Women's Softball",baseball softball,softball,fuente1 | fuente2 | fuente3,41;43;45;47;58,1525,281,281,378,378,0,686,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500039,116;2753,116,"Team, Mixed (Olympic) | Mixed Team",archery,archery,fuente1 | fuente3,58;61,168,0,0,0,0,0,164,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500040,150;1900,150,"Basketball, Men (Olympic) | Basketball Men's Basketball",basketball,basketball,fuente1 | fuente2 | fuente3 | fuente4,14;16;18;20;22;24;26;28;30;32;34;36;38;41;43;45;47;50;54;58,9878,1311,1311,1881,1881,0,5308,20,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500041,152;1982,152,"Basketball, Women (Olympic) | Basketball Women's Basketball",basketball,basketball,fuente1 | fuente2 | fuente3,30;32;34;36;38;41;43;45;47;50;54;58,3915,575,575,624,624,0,2027,12,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500043,154;1935,154,"Handball, Women (Olympic) | Handball Women's Handball",handball,handball,fuente1 | fuente2 | fuente3 | fuente4,30;32;34;36;38;41;43;45;47;50;54;58,4376,624,624,652,652,0,2243,12,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500046,202;2396,202,"Polo, Men (Olympic) | Polo Men's Polo",polo,polo,fuente1 | fuente2 | fuente3,14;2;5;7;8,282,29,29,43,43,0,184,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500047,203;2332,203,"Rugby, Men (Olympic) | Rugby Men's Rugby",rugby,rugby,fuente1 | fuente2 | fuente3,2;5;7;8,442,54,54,110,110,0,263,4,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500048,211;1903,211,"Tug-Of-War, Men (Olympic) | Tug-Of-War Men's Tug-Of-War",tug of war,tug of war,fuente1 | fuente2 | fuente3 | fuente4,2;3;4;5;6;7,428,69,69,68,68,0,244,6,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500053,252;2961,252,"Cross-Country, Women (Olympic) | Women's Cross-country",cycling,mountain bike,fuente1 | fuente3,41;43;45;47;50;54;58;61,277,0,0,0,0,0,197,8,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500060,285;2938,285,"Cross-Country, Men (Olympic) | Men's Cross-country",cycling,mountain bike,fuente1 | fuente3,41;43;45;47;50;54;58;61,393,0,0,0,0,0,272,8,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500064,303;1902,303,"Football, Men (Olympic) | Football Men's Football",football,football,fuente1 | fuente2 | fuente3 | fuente4,10;14;16;18;2;20;22;24;26;28;3;30;32;34;36;38;4;41;43;45;47;5;50;54;58;6;7;8,17421,2925,2925,3529,3529,0,10122,28,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500065,338;1944,338,"Hockey, Women (Olympic) | Hockey Women's Hockey",hockey,hockey,fuente1 | fuente2 | fuente3 | fuente4,32;34;36;38;41;43;45;47;50;54;58,4586,605,605,1017,1017,0,2143,11,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500066,344;2449,344,"Cricket, Men (Olympic) | Cricket Men's Cricket",cricket,cricket,fuente1 | fuente2 | fuente3,2,69,14,14,12,12,0,40,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500078,425;1913,425,"Ice Hockey, Men (Olympic) | Ice Hockey Men's Ice Hockey",ice hockey,ice hockey,fuente1 | fuente2 | fuente3 | fuente4,11;13;15;17;19;21;23;25;27;29;31;33;35;37;39;40;42;44;46;49;53;57;60;7;9,10159,23,23,3160,3160,0,4784,25,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500079,428;2505,428,"Épée, Masters and Amateurs, Individual, Men (Olympic) | Fencing Men's epee, Masters and Amateurs, Individual",fencing,fencing,fuente1 | fuente2 | fuente3,2,24,0,0,0,0,0,19,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500080,432;2420,432,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",shooting,shooting,fuente1 | fuente2 | fuente3,5,35,0,0,7,7,0,28,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500081,468;1954,468,"Football, Women (Olympic) | Football Women's Football",football,football,fuente1 | fuente2 | fuente3,41;43;45;47;50;54;58,3341,468,468,709,709,0,1589,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500088,494;2670,494,"Rings, Men (Olympic) | Men's Rings",gymnastics,artistic gymnastics,fuente1 | fuente3,1;10;12;14;16;18;20;22;24;26;28;3;30;32;34;36;38;41;43;45;47;50;54;58;61;8,2240,0,0,0,0,0,1675,26,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500090,503;933,503,"Rope Climbing, Men (Olympic) | Rope Climbing, Men ()",gymnastics,artistic gymnastics,fuente1,1;12;3;8,80,0,0,0,0,0,80,4,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500091,509;2224,509,"Free Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres",shooting,shooting,fuente1 | fuente2 | fuente3,1;16;18;2;20;22;24;5;6;7,1130,146,146,0,0,0,639,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500092,510;2271,510,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,2;4;5;6;7,625,12,12,144,144,0,404,5,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500093,511;2272,511,"Military Rifle, Prone, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 300 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,7,218,3,3,54,54,0,161,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500094,513;2273,513,"Military Rifle, Prone, 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 600 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,7,209,2,2,50,50,0,157,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500095,515;2274,515,"Military Rifle, Standing, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Standing, 300 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,7,223,0,0,54,54,0,169,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500096,583;1987,583,"Handball, Men (Olympic) | Handball Men's Handball",handball,handball,fuente1 | fuente2 | fuente3,14;28;30;32;34;36;38;41;43;45;47;50;54;58,6988,1211,1211,1253,1253,0,3459,14,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500097,588;596,588,"Half-Middleweight, Women (Olympic) | Half-Middleweight, Women (Olympic (non-medal))",judo,judo,fuente1,36;38;41;43;45;47;50;54;58,206,0,0,0,0,0,155,9,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500098,591;592,592,"Half-Heavyweight, Women (Olympic (non-medal)) | Half-Heavyweight, Women (Olympic)",judo,judo,fuente1,36;38;41;43;45;47;50;54;58,173,0,0,0,0,0,131,9,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500099,594;599,594,"Extra-Lightweight, Women (Olympic) | Extra-Lightweight, Women (Olympic (non-medal))",judo,judo,fuente1,36;38;41;43;45;47;50;54;58,184,0,0,0,0,0,140,9,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500100,597;598,597,"Half-Lightweight, Women (Olympic) | Half-Lightweight, Women (Olympic (non-medal))",judo,judo,fuente1,36;38;41;43;45;47;50;54;58,191,0,0,0,0,0,139,9,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500101,615;737,737,"Military Ski Patrol, Men (Olympic) | Military Ski Patrol, Men (Olympic (non-medal))",skiing,military ski patrol,fuente1,11;15;17;9,30,0,0,0,0,0,28,4,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500103,628;3035,628,"Lightweight Double Sculls, Women (Olympic) | Lightweight Women's Double Sculls",rowing,rowing,fuente1 | fuente3,41;43;45;47;50;54;58;61,281,0,0,0,0,0,216,8,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500109,670;2819,670,"Trap, Men (Olympic) | Trap Men",shooting,shooting,fuente1 | fuente3,18;2;20;22;24;41;43;45;47;5;50;54;58;6;61;7;8,697,0,0,0,0,0,539,17,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500110,675;2313,675,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic) | Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",shooting,shooting,fuente1 | fuente2 | fuente3,34;36;38;41;43;45;47;50;54;58,1055,42,42,0,0,0,583,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500111,678;2079,678,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",shooting,shooting,fuente1 | fuente2 | fuente3,18;20;22;24;34;36;38;41;43;45;47;50;54;58,1892,146,146,0,0,0,1002,14,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500112,681;2747,681,"Skeet, Men (Olympic) | Skeet Men",shooting,shooting,fuente1 | fuente3,41;43;45;47;50;54;58;61,343,0,0,0,0,0,209,8,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500113,687;2840,687,"Trap, Women (Olympic) | Trap Women",shooting,shooting,fuente1 | fuente3,43;45;47;50;54;58;61,179,0,0,0,0,0,128,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500114,688;2437,688,"Running Target, Single and Double Shot, Men (Olympic) | Shooting Men's Running Target, Single And Double Shot",shooting,shooting,fuente1 | fuente2 | fuente3,18;20,74,12,12,0,0,0,42,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500115,689;2419,689,"Small-Bore Rifle, Prone, 50 and 100 yards, Men (Olympic) | Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",shooting,shooting,fuente1 | fuente2 | fuente3,5,57,8,8,0,0,0,34,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500116,690;2421,690,"Small-Bore Rifle, Disappearing Target, 25 yards, Men (Olympic) | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",shooting,shooting,fuente1 | fuente2 | fuente3,5,65,3,3,0,0,0,46,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500117,691;2422,691,"Small-Bore Rifle, Moving Target, 25 yards, Men (Olympic) | Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",shooting,shooting,fuente1 | fuente2 | fuente3,5,64,0,0,0,0,0,48,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500118,700;2225,700,"Military Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Military Rifle, Three Positions, 300 metres",shooting,shooting,fuente1 | fuente2 | fuente3,6,273,16,16,0,0,0,189,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500119,701;2226,701,"Military Rifle, Any Position, 600 metres, Men (Olympic) | Shooting Men's Military Rifle, Any Position, 600 metres",shooting,shooting,fuente1 | fuente2 | fuente3,6,255,7,7,0,0,0,188,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500120,713;2276,713,"Free Rifle, 400, 600 and 800 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,8,257,4,4,60,60,0,193,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500121,714;2463,714,"Small-Bore Rifle, Standing, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Standing, 50 metres",shooting,shooting,fuente1 | fuente2 | fuente3,7,146,2,2,0,0,0,111,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500122,723;2436,723,"Military Rifle, 200/500/600/800/900/1,000 yards, Team, Men (Olympic) | Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",shooting,shooting,fuente1 | fuente2 | fuente3,5,143,7,7,38,38,0,98,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500123,724;2870,724,"Skeet, Women (Olympic) | Skeet Women",shooting,shooting,fuente1 | fuente3,43;45;47;50;54;58;61,169,0,0,0,0,0,116,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500124,727;2227,727,"Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,6,180,0,0,42,42,0,138,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500125,728;2610,728,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,6,71,0,0,18,18,0,53,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500126,729;2438,729,"Small-Bore Rifle, Any Position, 50 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Any Position, 50 metres",shooting,shooting,fuente1 | fuente2 | fuente3,6,122,7,7,0,0,0,86,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500127,730;2439,730,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic) | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",shooting,shooting,fuente1 | fuente2 | fuente3,6,107,0,0,0,0,0,79,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500128,752;2576,752,"Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",shooting,shooting,fuente1 | fuente2 | fuente3,6,47,0,0,12,12,0,35,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500129,888;1410,1410,"Water Polo, Women (Olympic (non-medal)) | Water Polo, Women (Olympic)",aquatics,water polo,fuente1,43;45;47;50;54;58;7,622,0,0,0,0,0,426,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500130,899;2914,899,"Individual, Women (Olympic) | Women's Individual",modern pentathlon,modern pentathlon,fuente1 | fuente3,43;45;47;50;54;58;61,269,0,0,0,0,0,190,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500131,908;2063,908,"Volleyball, Women (Olympic) | Volleyball Women's Volleyball",volleyball,volleyball,fuente1 | fuente2 | fuente3,24;26;28;30;32;34;36;38;41;43;45;47;50;54;58,4791,632,632,857,857,0,2429,15,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500132,909;2036,909,"Volleyball, Men (Olympic) | Volleyball Men's Volleyball",volleyball,volleyball,fuente1 | fuente2 | fuente3,24;26;28;30;32;34;36;38;41;43;45;47;50;54;58,5721,935,935,1138,1138,0,2736,15,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500134,981;1385,981,"Windsurfer, Women (Olympic) | Windsurfer, Women (Olympic (non-medal))",sailing,sailing,fuente1,34;38;41;43;45;47;50;54;58,211,0,0,0,0,0,116,9,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500143,1237;1257,1237,"3,000 metres Relay, Women (Olympic) | 3,000 metres Relay, Women (Olympic (non-medal))",skating,short track speed skating,fuente1,37;39;40;42;44;46;49;53;57;60,341,0,0,0,0,0,207,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500144,1240;1267,1240,"Ice Dancing, Mixed (Olympic) | Ice Dancing, Mixed (Olympic (non-medal))",skating,figure skating,fuente1,27;31;33;35;37;39;40;42;44;46;49;53;57;60,548,0,0,0,0,0,362,14,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500145,1251;1265,1251,"Moguls, Women (Olympic) | Moguls, Women (Olympic (non-medal))",skiing,freestyle skiing,fuente1,37;39;40;42;44;46;49;53;57;60,253,0,0,0,0,0,135,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500146,1255;1256,1256,"Aerials, Women (Olympic (non-medal)) | Aerials, Women (Olympic)",skiing,freestyle skiing,fuente1,37;39;40;42;44;46;49;53;57;60,195,0,0,0,0,0,100,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500147,1289;1291,1291,"5,000 metres Relay, Men (Olympic (non-medal)) | 5,000 metres Relay, Men (Olympic)",skating,short track speed skating,fuente1,37;39;40;42;44;46;49;53;57;60,354,0,0,0,0,0,226,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500148,1296;1326,1296,"Moguls, Men (Olympic) | Moguls, Men (Olympic (non-medal))",skiing,freestyle skiing,fuente1,37;39;40;42;44;46;49;53;57;60,294,0,0,0,0,0,185,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500149,1313;1365,1365,"Military Ski Patrol, Men (Olympic) | Military Ski Patrol, Men (Olympic (non-medal))",skiing,cross country skiing,fuente1,11;15;17;9,9,0,0,0,0,0,9,4,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500150,1314;1315,1315,"Aerials, Men (Olympic (non-medal)) | Aerials, Men (Olympic)",skiing,freestyle skiing,fuente1,37;39;40;42;44;46;49;53;57;60,212,0,0,0,0,0,107,10,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500151,1335;2159,1335,"2 × 6 kilometres and 2 × 7.5 kilometres Relay, Mixed (Olympic) | Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",biathlon,biathlon,fuente1 | fuente2,53;57;60,282,0,0,39,39,0,191,3,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500153,1386;2841,1386,"Trap, Team, Mixed (Olympic) | Trap Mixed Team",shooting,shooting,fuente1 | fuente3,58,64,0,0,0,0,0,61,1,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500154,1399;1403,1399,"Welterweight, Women (Olympic) | Welterweight, Women (Olympic (non-medal))",taekwondo,taekwondo,fuente1,38;43;45;47;50;54;58,91,0,0,0,0,0,67,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500157,1445;2202,1445,"Ice Hockey, Women (Olympic) | Ice Hockey Women's Ice Hockey",ice hockey,ice hockey,fuente1 | fuente2,42;44;46;49;53;57;60,1891,0,0,501,501,0,789,7,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500162,1472;3106,1472,"Relay, Mixed (Olympic) | Mixed Relay",triathlon,triathlon,fuente1 | fuente3,58;61,66,0,0,0,0,0,66,2,Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
