muestra,componente_atleta,miembros,nombres,tamano,fuentes,pares_evaluados,pares_safe,pares_review_conflict,pares_same_source_review,transitividad_insegura,attribute_conflict,clasificacion,id_atleta_canonico_propuesto,nombre_canonico_propuesto,puntuacion_completitud_canonico,razon,campos_a_rellenar,campos_attribute_conflict,id_atleta_origen_a,nombre_a,id_atleta_origen_b,nombre_b,fuentes_atleta_a,fuentes_atleta_b,ids_originales_a,ids_originales_b,contextos_compartidos,biografia_estado,senales_altura_peso,same_source,event_aliases_used,componente_evento,deportes,disciplinas,generos,pares_conflict_review,pares_faltantes,coexistencia,id_evento_canonico_propuesto
SAFE_ATHLETE_COMPONENT,AT000334,2061;172557,Jan Popowicz | Jan Zdzisaw Popowicz,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,2061,Jan Popowicz,13/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000338,2083;148171,Edgardo Berdeguer | Edgardo R. Berdeguer,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,2083,Edgardo Berdeguer,9/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000370,2273;166189,Alberto Mancini | Alberto Csar Mancini,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,2273,Alberto Mancini,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000412,2484;148904,Maria Bogoslov | Maria Lenua Bogoslov,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,2484,Maria Bogoslov,10/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000476,2826;152683,Felipe de la Pozas | Felipe de la Pozas y Piad,2.0,fuente1 | fuente2,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,2826,Felipe de la Pozas,8/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000477,2835;158131,Emanuil Gyaurov | Emanuil Mikhaylov Gyaurov,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,2835,Emanuil Gyaurov,14/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000491,3013;153669,Jean Dortet | Jean Andr Dortet,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3013,Jean Dortet,15/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000493,3023;155786,Paul Fritsch | Paul Franois Nicolas Fritsch,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3023,Paul Fritsch,17/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000494,3031;157113,Joseph Gonzales | Joseph Franois Gonzales,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3031,Joseph Gonzales,12/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000495,3036;160976,Jean Josselin | Jean Pierre Andr Josselin,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3036,Jean Josselin,16/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000497,3079;174506,Joseph Roude | Joseph E. Roude,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3079,Joseph Roude,14/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000502,3132;148955,Eduardo Bojorge | Eduardo Martn Bojorge,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3132,Eduardo Bojorge,7/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000512,3250;159072,Ruperto Herrera | Ruperto Herrera Tabio,2.0,fuente1 | fuente2,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3250,Ruperto Herrera,11/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000518,3274;164201,Frank Lavernia | Frank Manuel Lavernia Hernndez,2.0,fuente1 | fuente2,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3274,Frank Lavernia,14/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
SAFE_ATHLETE_COMPONENT,AT000523,3289;168200,Francisco Moniz | Francisco Andr Moniz,2.0,fuente1 | fuente2 | fuente3,1.0,1.0,0.0,0.0,NO,NO,SAFE_ATHLETE_COMPONENT,3289,Francisco Moniz,13/4,"Componente clique con todos los pares SAFE; canon por completitud biográfica, luego ID estable.",,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000001,2;197394,Arnaud Boetsch | Arnaud Boetsch,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,2,Arnaud Boetsch,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000002,6;205589,Nicolas Chatelain | Nicolas Chatelain,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,6,Nicolas Chatelain,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000003,8;207610,Henri Cochet | Henri Cochet,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,8,Henri Cochet,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000004,25;256063,Paul Lecaron | Paul Lecaron,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,25,Paul Lecaron,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000005,32;289990,Guillaume Raoux | Guillaume Raoux,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,32,Guillaume Raoux,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000006,34;296583,Jean-Pierre Samazeuilh | Jean-Pierre Samazeuilh,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,34,Jean-Pierre Samazeuilh,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000008,51;230779,Alice Greene | Alice Greene,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,51,Alice Greene,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000009,54;238011,Andrea Holt | Andrea Holt,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,54,Andrea Holt,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000012,68;301195,Dorothy Shepherd-Barron | Dorothy Shepherd-barron,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,68,Dorothy Shepherd-Barron,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000014,86;209423,Walter Crawley | Walter Crawley,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,86,Walter Crawley,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000015,90;216732,Desmond Douglas | Desmond Douglas,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,90,Desmond Douglas,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000016,92;220245,Lionel Escombe | Lionel Escombe,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,92,Lionel Escombe,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000017,95;228918,Leslie Godfree | Leslie Godfree,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,95,Leslie Godfree,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000019,100;237091,George Hillyard | George Hillyard,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,100,George Hillyard,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000020,102;248735,Algernon Kingscote | Algernon Kingscote,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,102,Algernon Kingscote,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000021,104;260892,Arthur Lowe | Arthur Lowe,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,104,Arthur Lowe,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000022,109;277251,Arthur Norris | Arthur Norris,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,109,Arthur Norris,7/3,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000023,110;282008,James Parke | James Parke,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,110,James Parke,15/5,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000024,117;309273,Matthew Syed | Matthew Syed,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,117,Matthew Syed,12/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000025,130;277071,Katja Nolten | Katja Nolten,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,130,Katja Nolten,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000026,138;193644,Boris Becker | Boris Becker,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,138,Boris Becker,14/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000027,141;224484,Peter Franz | Peter Franz,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,141,Peter Franz,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000028,143;225032,Otto Froitzheim | Otto Froitzheim,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,143,Otto Froitzheim,15/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000029,144;228964,Marc-Kevin Goellner | Marc-Kevin Goellner,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,144,Marc-Kevin Goellner,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000030,148;242569,Eric Jelen | Eric Jelen,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,148,Eric Jelen,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000031,151;252980,Stephan Kuhl | Stephan Kuhl,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,151,Stephan Kuhl,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000032,161;307109,Michael Stich | Michael Stich,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,161,Michael Stich,13/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000033,165;186981,Helen Amankwah | Helen Amankwah,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,165,Helen Amankwah,7/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000034,167;279582,Patience Opokua | Patience Opokua,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,167,Patience Opokua,7/4,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
REVIEW_ATHLETE_COMPONENT,AT000035,173;185272,Aristidis Akratopoulos | Aristidis Akratopoulos,2.0,fuente1 | fuente2 | fuente3,1.0,0.0,1.0,1.0,NO,NO,REVIEW_ATHLETE_COMPONENT,173,Aristidis Akratopoulos,8/3,contiene pares no SAFE_ATHLETE_PAIR; contiene SAME_SOURCE_REVIEW,,,,,,,,,,,,,,,,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,2,Arnaud Boetsch,197394,Arnaud Boetsch,fuente1 | fuente2 | fuente3,fuente3,fuente1:2 | fuente2:12698 | fuente3:24217,fuente3:24218,"[""1996 Summer | FRA | France | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,6,Nicolas Chatelain,205589,Nicolas Chatelain,fuente1 | fuente2 | fuente3,fuente3,fuente1:6 | fuente2:19978 | fuente3:38833,fuente3:38834,"[""1992 Summer | FRA | France-1 | 2245 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,8,Henri Cochet,207610,Henri Cochet,fuente1 | fuente2 | fuente3,fuente3,fuente1:8 | fuente2:22149 | fuente3:42945,fuente3:42946,"[""1924 Summer | FRA | France-1 | 2 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,25,Paul Lecaron,256063,Paul Lecaron,fuente1 | fuente2 | fuente3,fuente3,fuente1:25 | fuente2:67675 | fuente3:134427,fuente3:134428,"[""1900 Summer | FRA | France-3 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,32,Guillaume Raoux,289990,Guillaume Raoux,fuente1 | fuente2 | fuente3,fuente3,fuente1:32 | fuente2:98917 | fuente3:197035,fuente3:197036,"[""1996 Summer | FRA | France | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,34,Jean-Pierre Samazeuilh,296583,Jean-Pierre Samazeuilh,fuente1 | fuente2 | fuente3,fuente3,fuente1:34 | fuente2:104955 | fuente3:209055,fuente3:209056,"[""1920 Summer | FRA | France-2 | 2 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,51,Alice Greene,230779,Alice Greene,fuente1 | fuente2 | fuente3,fuente3,fuente1:51 | fuente2:42660 | fuente3:83935,fuente3:83936,"[""1908 Summer | GBR | Great Britain | 2263 | Silver""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
SAME_SOURCE_REVIEW,,,,,,,,,,,,SAME_SOURCE_REVIEW,,,,SAME_SOURCE_REVIEW: fuente3,,,54,Andrea Holt,238011,Andrea Holt,fuente1 | fuente2 | fuente3,fuente3,fuente1:54 | fuente2:49573 | fuente3:97940,fuente3:97941,"[""1996 Summer | GBR | Great Britain | 2076 | ""]",UNKNOWN/COMPATIBLE,,fuente3,SAFE_EVENT_COMPONENT_ONLY,,,,,,,,
