componente_evento,miembros,nombres,deporte,disciplina,pares_evaluados,pares_safe,pares_review,pares_conflict,pares_faltantes,clasificacion,id_evento_canonico_propuesto,nombre_canonico_propuesto,razon
EV500027,75;2390,"Target Archery, 33 metres, Team, Men (Olympic) | Archery Men's Target Archery, 33 metres, Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,75,"Target Archery, 33 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500028,76;2391,"Target Archery, 50 metres, Team, Men (Olympic) | Archery Men's Target Archery, 50 metres, Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,76,"Target Archery, 50 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500029,77;2618,"Pole Archery, Small Birds, Individual, Men (Olympic) | Archery Men's Pole Archery, Small Birds, Individual",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,77,"Pole Archery, Small Birds, Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500030,78;2619,"Pole Archery, Large Birds, Individual, Men (Olympic) | Archery Men's Pole Archery, Large Birds, Individual",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,78,"Pole Archery, Large Birds, Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500031,79;2620,"Pole Archery, Small Birds, Team, Men (Olympic) | Archery Men's Pole Archery, Small Birds, Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,79,"Pole Archery, Small Birds, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500032,80;2621,"Pole Archery, Large Birds, Team, Men (Olympic) | Archery Men's Pole Archery, Large Birds, Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,80,"Pole Archery, Large Birds, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500033,87;2663,"Target Archery, 28 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 28 metres, Individual",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,87,"Target Archery, 28 metres, Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500034,88;2595,"Target Archery, 33 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 33 metres, Individual",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,88,"Target Archery, 33 metres, Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500035,89;2596,"Target Archery, 50 metres, Individual, Men (Olympic) | Archery Men's Target Archery, 50 metres, Individual",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,89,"Target Archery, 50 metres, Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500036,96;2041;2700,"Marathon, Men (Olympic) | Athletics Men's Marathon | Men's Marathon",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500037,113;2033,"Softball, Women (Olympic) | Softball Women's Softball",baseball softball,softball,1,1,0,0,0,SAFE_EVENT_COMPONENT,113,"Softball, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500038,114;115;2106,"Baseball, Men (Olympic) | Baseball, Men (Olympic (non-medal)) | Baseball Men's Baseball",baseball softball,baseball,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500039,116;2753,"Team, Mixed (Olympic) | Mixed Team",archery,archery,1,1,0,0,0,SAFE_EVENT_COMPONENT,116,"Team, Mixed (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500040,150;1900,"Basketball, Men (Olympic) | Basketball Men's Basketball",basketball,basketball,1,1,0,0,0,SAFE_EVENT_COMPONENT,150,"Basketball, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500041,152;1982,"Basketball, Women (Olympic) | Basketball Women's Basketball",basketball,basketball,1,1,0,0,0,SAFE_EVENT_COMPONENT,152,"Basketball, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500042,153;2370;2999,"Triple Jump, Women (Olympic) | Athletics Women's Triple Jump | Women's Triple Jump",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500043,154;1935,"Handball, Women (Olympic) | Handball Women's Handball",handball,handball,1,1,0,0,0,SAFE_EVENT_COMPONENT,154,"Handball, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500044,157;2123;2959,"Decathlon, Men (Olympic) | Athletics Men's Decathlon | Men's Decathlon",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500045,198;2021;2739,"Single Sculls, Women (Olympic) | Rowing Women's Single Sculls | Women's Single Sculls",rowing,rowing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500046,202;2396,"Polo, Men (Olympic) | Polo Men's Polo",polo,polo,1,1,0,0,0,SAFE_EVENT_COMPONENT,202,"Polo, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500047,203;2332,"Rugby, Men (Olympic) | Rugby Men's Rugby",rugby,rugby,1,1,0,0,0,SAFE_EVENT_COMPONENT,203,"Rugby, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500048,211;1903,"Tug-Of-War, Men (Olympic) | Tug-Of-War Men's Tug-Of-War",tug of war,tug of war,1,1,0,0,0,SAFE_EVENT_COMPONENT,211,"Tug-Of-War, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500049,212;405;2379,"Lacrosse, Men (Olympic) | Lacrosse, Men (Olympic (non-medal)) | Lacrosse Men's Lacrosse",lacrosse,lacrosse,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500050,228;2005;2722,"Sabre, Team, Men (Olympic) | Fencing Men's Sabre, Team | Men's Sabre Team",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500051,241;2052;2721,"Sabre, Individual, Men (Olympic) | Fencing Men's Sabre, Individual | Men's Sabre Individual",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500052,244;2101;2940,"Sprint, Men (Olympic) | Cycling Men's Sprint | Men's Sprint",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500053,252;2961,"Cross-Country, Women (Olympic) | Women's Cross-country",cycling,mountain bike,1,1,0,0,0,SAFE_EVENT_COMPONENT,252,"Cross-Country, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500054,255;2473;2666,"Individual Time Trial, Women (Olympic) | Cycling Women's Individual Time Trial | Women's Individual Time Trial",cycling,cycling road,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500055,259;1998;2893,"Sprint, Women (Olympic) | Cycling Women's Sprint | Women's Sprint",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500056,266;2538;2894,"Keirin, Women (Olympic) | Cycling Women's Keirin | Women's Keirin",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500057,267;2603;3080,"Team Sprint, Women (Olympic) | Cycling Women's Team Sprint | Women's Team Sprint",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500058,272;2330;3090,"Madison, Men (Olympic) | Cycling Men's Madison | Men's Madison",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500059,279;2336;2851,"Individual Time Trial, Men (Olympic) | Cycling Men's Individual Time Trial | Men's Individual Time Trial",cycling,cycling road,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500060,285;2938,"Cross-Country, Men (Olympic) | Men's Cross-country",cycling,mountain bike,1,1,0,0,0,SAFE_EVENT_COMPONENT,285,"Cross-Country, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500061,288;2485;3102,"Team Sprint, Men (Olympic) | Cycling Men's Team Sprint | Men's Team Sprint",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500062,299;2484;2941,"Keirin, Men (Olympic) | Cycling Men's Keirin | Men's Keirin",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500063,301;2477;2996,"Omnium, Men (Olympic) | Cycling Men's Omnium | Men's Omnium",cycling,cycling track,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500064,303;1902,"Football, Men (Olympic) | Football Men's Football",football,football,1,1,0,0,0,SAFE_EVENT_COMPONENT,303,"Football, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500065,338;1944,"Hockey, Women (Olympic) | Hockey Women's Hockey",hockey,hockey,1,1,0,0,0,SAFE_EVENT_COMPONENT,338,"Hockey, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500066,344;2449,"Cricket, Men (Olympic) | Cricket Men's Cricket",cricket,cricket,1,1,0,0,0,SAFE_EVENT_COMPONENT,344,"Cricket, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500067,358;1955;2731,"Foil, Individual, Men (Olympic) | Fencing Men's Foil, Individual | Men's Foil Individual",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500068,383;1928;2736,"Shot Put, Men (Olympic) | Athletics Men's Shot Put | Men's Shot Put",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500069,393;2097;2951,"Discus Throw, Men (Olympic) | Athletics Men's Discus Throw | Men's Discus Throw",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500070,395;2016;2869,"Hammer Throw, Men (Olympic) | Athletics Men's Hammer Throw | Men's Hammer Throw",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500071,398;2062;2696,"Javelin Throw, Men (Olympic) | Athletics Men's Javelin Throw | Men's Javelin Throw",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500072,406;2242;2945,"Foil, Individual, Women (Olympic) | Fencing Women's Foil, Individual | Women's Foil Individual",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500073,407;2212;2946,"Foil, Team, Women (Olympic) | Fencing Women's Foil, Team | Women's Foil Team",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500074,408;2083;2706,"Épée, Individual, Women (Olympic) | Fencing Women's epee, Individual | Women's Épée Individual",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500075,409;2432;2968,"Épée, Team, Women (Olympic) | Fencing Women's epee, Team | Women's Épée Team",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500076,410;2004;2732,"Foil, Team, Men (Olympic) | Fencing Men's Foil, Team | Men's Foil Team",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500077,411;1957;2956,"Épée, Team, Men (Olympic) | Fencing Men's epee, Team | Men's Épée Team",fencing,fencing,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500078,425;1913,"Ice Hockey, Men (Olympic) | Ice Hockey Men's Ice Hockey",ice hockey,ice hockey,1,1,0,0,0,SAFE_EVENT_COMPONENT,425,"Ice Hockey, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500079,428;2505,"Épée, Masters and Amateurs, Individual, Men (Olympic) | Fencing Men's epee, Masters and Amateurs, Individual",fencing,fencing,1,1,0,0,0,SAFE_EVENT_COMPONENT,428,"Épée, Masters and Amateurs, Individual, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500080,432;2420,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic) | Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",shooting,shooting,1,1,0,0,0,SAFE_EVENT_COMPONENT,432,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500081,468;1954,"Football, Women (Olympic) | Football Women's Football",football,football,1,1,0,0,0,SAFE_EVENT_COMPONENT,468,"Football, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500082,480;2114;2705,"Floor Exercise, Women (Olympic) | Gymnastics Women's Floor Exercise | Women's Floor Exercise",gymnastics,artistic gymnastics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500083,482;2116;2703,"Uneven Bars, Women (Olympic) | Gymnastics Women's Uneven Bars | Women's Uneven Bars",gymnastics,artistic gymnastics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500084,483;2117;2704,"Balance Beam, Women (Olympic) | Gymnastics Women's Balance Beam | Women's Balance Beam",gymnastics,artistic gymnastics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500085,490;1922;2668,"Floor Exercise, Men (Olympic) | Gymnastics Men's Floor Exercise | Men's Floor Exercise",gymnastics,artistic gymnastics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500086,492;1924;2672,"Parallel Bars, Men (Olympic) | Gymnastics Men's Parallel Bars | Men's Parallel Bars",gymnastics,artistic gymnastics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500087,493;1925;2673,"Horizontal Bar, Men (Olympic) | Gymnastics Men's Horizontal Bar | Men's Horizontal Bar",gymnastics,artistic gymnastics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500088,494;2670,"Rings, Men (Olympic) | Men's Rings",gymnastics,artistic gymnastics,1,1,0,0,0,SAFE_EVENT_COMPONENT,494,"Rings, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500089,496;2139;2971,"Pole Vault, Women (Olympic) | Athletics Women's Pole Vault | Women's Pole Vault",athletics,athletics,3,2,0,0,1,REVIEW_EVENT_COMPONENT,,,Componente en revisión: contiene REVIEW/CONFLICT/MISSING_PAIR interno.
EV500090,503;933,"Rope Climbing, Men (Olympic) | Rope Climbing, Men ()",gymnastics,artistic gymnastics,1,1,0,0,0,SAFE_EVENT_COMPONENT,503,"Rope Climbing, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500091,509;2224,"Free Rifle, Three Positions, 300 metres, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres",shooting,shooting,1,1,0,0,0,SAFE_EVENT_COMPONENT,509,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500092,510;2271,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic) | Shooting Men's Free Rifle, Three Positions, 300 metres, Team",shooting,shooting,1,1,0,0,0,SAFE_EVENT_COMPONENT,510,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500093,511;2272,"Military Rifle, Prone, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 300 metres, Team",shooting,shooting,1,1,0,0,0,SAFE_EVENT_COMPONENT,511,"Military Rifle, Prone, 300 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500094,513;2273,"Military Rifle, Prone, 600 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Prone, 600 metres, Team",shooting,shooting,1,1,0,0,0,SAFE_EVENT_COMPONENT,513,"Military Rifle, Prone, 600 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500095,515;2274,"Military Rifle, Standing, 300 metres, Team, Men (Olympic) | Shooting Men's Military Rifle, Standing, 300 metres, Team",shooting,shooting,1,1,0,0,0,SAFE_EVENT_COMPONENT,515,"Military Rifle, Standing, 300 metres, Team, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500096,583;1987,"Handball, Men (Olympic) | Handball Men's Handball",handball,handball,1,1,0,0,0,SAFE_EVENT_COMPONENT,583,"Handball, Men (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
EV500097,588;596,"Half-Middleweight, Women (Olympic) | Half-Middleweight, Women (Olympic (non-medal))",judo,judo,1,1,0,0,0,SAFE_EVENT_COMPONENT,588,"Half-Middleweight, Women (Olympic)",Todos los pares internos son SAFE_EVENT_ALIAS; canon existente con menor redundancia numérica/semántica y cobertura determinista.
