id_evento_a,nombre_a,id_evento_b,nombre_b,deporte,disciplina,genero_a,genero_b,similitud,regla_detectada,auto_merge_candidate,razon
696,"1 mile Freestyle, Men (Intercalated)",830,"1 mile Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.754098,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
779,"200 metres Freestyle, Men (Olympic)",781,"4 × 200 metres Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
779,"200 metres Freestyle, Men (Olympic)",824,"1,200 metres Freestyle, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.969697,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
843,"Underwater Swimming, Men (Olympic)",2434,Swimming Men's Underwater Swimming,Aquatics,Swimming,MEN,MEN,0.584615,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
861,"200 metres Team Swimming, Men (Olympic)",2552,Swimming Men's 200 metres Team Swimming,Aquatics,Swimming,MEN,MEN,0.64,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
865,"50 yards Freestyle, Men (Olympic)",866,"4 × 50 yards Freestyle Relay, Men (Olympic)",Aquatics,Swimming,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1454,"High Jump, Men (Olympic (non-medal))",1457,"High Jump, Handicap, Men (Olympic (non-medal))",Aquatics,Swimming,MEN,MEN,0.873239,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1456,"Pole Vault, Men (Olympic (non-medal))",1458,"Pole Vault, Handicap, Men (Olympic (non-medal))",Aquatics,Swimming,MEN,MEN,0.876712,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1501,"100 metres Freestyle, Boys (YOG)",1594,"4 × 100 metres Freestyle Relay, Boys (YOG)",Aquatics,Swimming,MEN,MEN,0.852941,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2006,Swimming Men's 100 metres Freestyle,2085,Swimming Men's 4 x 100 metres Freestyle Relay,Aquatics,Swimming,MEN,MEN,0.875,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2006,Swimming Men's 100 metres Freestyle,2637,Swimming Men's 100 metres Freestyle For Sailors,Aquatics,Swimming,MEN,MEN,0.853659,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2007,Swimming Men's 4 x 200 metres Freestyle Relay,2084,Swimming Men's 200 metres Freestyle,Aquatics,Swimming,MEN,MEN,0.875,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2084,Swimming Men's 200 metres Freestyle,2455,"Swimming Men's 1,200 metres Freestyle",Aquatics,Swimming,MEN,MEN,0.972222,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2191,"Swimming Men's 1,500 metres Freestyle",2659,Swimming Men's 500 metres Freestyle,Aquatics,Swimming,MEN,MEN,0.972222,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2222,Swimming Men's 4 x 50 Yard Freestyle Relay,2627,Swimming Men's 50 yard Freestyle,Aquatics,Swimming,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2726,Men's 100m Freestyle,2749,Men's 4 x 100m Freestyle Relay Team,Aquatics,Swimming,MEN,MEN,0.727273,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2726,Men's 100m Freestyle,3096,Men's 4 x 100m Freestyle Relay,Aquatics,Swimming,MEN,MEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2749,Men's 4 x 100m Freestyle Relay Team,3096,Men's 4 x 100m Freestyle Relay,Aquatics,Swimming,MEN,MEN,0.923077,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2859,Men's 200m Freestyle,2910,Men's 4 x 200m Freestyle Relay Team,Aquatics,Swimming,MEN,MEN,0.727273,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2859,Men's 200m Freestyle,3103,Men's 4 x 200m Freestyle Relay,Aquatics,Swimming,MEN,MEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2891,Men's 4 x 100m Medley Relay Team,3043,Men's 4 x 100m Medley Relay,Aquatics,Swimming,MEN,MEN,0.915254,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2910,Men's 4 x 200m Freestyle Relay Team,3103,Men's 4 x 200m Freestyle Relay,Aquatics,Swimming,MEN,MEN,0.923077,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1464,"4 × 100 metres Medley Relay, Mixed (Olympic)",1490,"4 × 100 metres Medley Relay, Mixed Youth (YOG)",Aquatics,Swimming,MIXED,MIXED,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2743,Mixed 4 x 100m Medley Relay Team,3097,Mixed 4 x 100m Medley Relay,Aquatics,Swimming,MIXED,MIXED,0.915254,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
788,"100 metres Freestyle, Women (Olympic)",798,"4 × 100 metres Freestyle Relay, Women (Olympic)",Aquatics,Swimming,WOMEN,WOMEN,0.871795,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
793,"4 × 200 metres Freestyle Relay, Women (Olympic)",800,"200 metres Freestyle, Women (Olympic)",Aquatics,Swimming,WOMEN,WOMEN,0.871795,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1489,"100 metres Freestyle, Girls (YOG)",1492,"4 × 100 metres Freestyle Relay, Girls (YOG)",Aquatics,Swimming,WOMEN,WOMEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2130,Swimming Women's 4 x 100 metres Freestyle Relay,2193,Swimming Women's 100 metres Freestyle,Aquatics,Swimming,WOMEN,WOMEN,0.880952,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2248,Swimming Women's 200 metres Freestyle,2322,Swimming Women's 4 x 200 metres Freestyle Relay,Aquatics,Swimming,WOMEN,WOMEN,0.880952,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2798,Women's 4 x 100m Freestyle Relay Team,2874,Women's 100m Freestyle,Aquatics,Swimming,WOMEN,WOMEN,0.745763,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2798,Women's 4 x 100m Freestyle Relay Team,3041,Women's 4 x 100m Freestyle Relay,Aquatics,Swimming,WOMEN,WOMEN,0.927536,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2852,Women's 4 x 200m Freestyle Relay Team,2875,Women's 200m Freestyle,Aquatics,Swimming,WOMEN,WOMEN,0.745763,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2852,Women's 4 x 200m Freestyle Relay Team,3101,Women's 4 x 200m Freestyle Relay,Aquatics,Swimming,WOMEN,WOMEN,0.927536,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2874,Women's 100m Freestyle,3041,Women's 4 x 100m Freestyle Relay,Aquatics,Swimming,WOMEN,WOMEN,0.814815,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2875,Women's 200m Freestyle,3101,Women's 4 x 200m Freestyle Relay,Aquatics,Swimming,WOMEN,WOMEN,0.814815,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2876,Women's 4 x 100m Medley Relay Team,3025,Women's 4 x 100m Medley Relay,Aquatics,Swimming,WOMEN,WOMEN,0.920635,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
649,"Water Polo, Men (Olympic)",1942,Water Polo Men's Water Polo,Aquatics,Water Polo,MEN,MEN,0.693878,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
831,"200 metres Freestyle, Men (Olympic)",854,"4 × 200 metres Freestyle Relay, Men (Olympic)",Aquatics,Water Polo,MEN,MEN,0.864865,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
888,"Water Polo, Women (Olympic (non-medal))",1410,"Water Polo, Women (Olympic)",Aquatics,Water Polo,WOMEN,WOMEN,0.827586,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1410,"Water Polo, Women (Olympic)",2024,Water Polo Women's Water Polo,Aquatics,Water Polo,WOMEN,WOMEN,0.716981,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
70,"Individual, Men (Olympic)",2713,Men's Individual,Archery,Archery,MEN,MEN,0.526316,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
73,"Team, Men (Olympic)",121,"Team Round, Men (Olympic)",Archery,Archery,MEN,MEN,0.842105,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
73,"Team, Men (Olympic)",2714,Men's Team,Archery,Archery,MEN,MEN,0.307692,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
74,"Target Archery, 28 metres, Team, Men (Olympic)",2389,"Archery Men's Target Archery, 28 metres, Team",Archery,Archery,MEN,MEN,0.690476,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
75,"Target Archery, 33 metres, Team, Men (Olympic)",2390,"Archery Men's Target Archery, 33 metres, Team",Archery,Archery,MEN,MEN,0.690476,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
76,"Target Archery, 50 metres, Team, Men (Olympic)",2391,"Archery Men's Target Archery, 50 metres, Team",Archery,Archery,MEN,MEN,0.690476,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
77,"Pole Archery, Small Birds, Individual, Men (Olympic)",2618,"Archery Men's Pole Archery, Small Birds, Individual",Archery,Archery,MEN,MEN,0.729167,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
78,"Pole Archery, Large Birds, Individual, Men (Olympic)",2619,"Archery Men's Pole Archery, Large Birds, Individual",Archery,Archery,MEN,MEN,0.729167,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
79,"Pole Archery, Small Birds, Team, Men (Olympic)",2620,"Archery Men's Pole Archery, Small Birds, Team",Archery,Archery,MEN,MEN,0.690476,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
80,"Pole Archery, Large Birds, Team, Men (Olympic)",2621,"Archery Men's Pole Archery, Large Birds, Team",Archery,Archery,MEN,MEN,0.690476,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
87,"Target Archery, 28 metres, Individual, Men (Olympic)",2663,"Archery Men's Target Archery, 28 metres, Individual",Archery,Archery,MEN,MEN,0.729167,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
88,"Target Archery, 33 metres, Individual, Men (Olympic)",2595,"Archery Men's Target Archery, 33 metres, Individual",Archery,Archery,MEN,MEN,0.729167,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
89,"Target Archery, 50 metres, Individual, Men (Olympic)",2596,"Archery Men's Target Archery, 50 metres, Individual",Archery,Archery,MEN,MEN,0.729167,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
2162,Archery Men's Individual,2713,Men's Individual,Archery,Archery,MEN,MEN,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2163,Archery Men's Team,2594,Archery Men's Team Round,Archery,Archery,MEN,MEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
116,"Team, Mixed (Olympic)",2753,Mixed Team,Archery,Archery,MIXED,MIXED,0.5,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
71,"Individual, Women (Olympic)",2752,Women's Individual,Archery,Archery,WOMEN,WOMEN,0.47619,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
72,"Team, Women (Olympic)",118,"Team Round, Women (Olympic)",Archery,Archery,WOMEN,WOMEN,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
72,"Team, Women (Olympic)",2865,Women's Team,Archery,Archery,WOMEN,WOMEN,0.466667,"misma firma de tokens: minúsculas, puntuación, Olympic(s), posesivo y reordenamiento seguro",YES,"Mismo deporte, disciplina y género; firma equivalente sin conflicto textual evidente."
2034,Archery Women's Individual,2752,Women's Individual,Archery,Archery,WOMEN,WOMEN,0.818182,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2230,Archery Women's Team,2656,Archery Women's Team Round,Archery,Archery,WOMEN,WOMEN,0.869565,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2230,Archery Women's Team,2865,Women's Team,Archery,Archery,WOMEN,WOMEN,0.75,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1929,"Art Competitions Mixed Sculpturing, Unknown Event",2399,Art Competitions Mixed Sculpturing,Art Competitions,Art Competitions,MIXED,MIXED,0.829268,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
1929,"Art Competitions Mixed Sculpturing, Unknown Event",2548,Art Competitions Mixed Unknown Event,Art Competitions,Art Competitions,MIXED,MIXED,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2110,"Art Competitions Mixed Architecture, Designs For Town Planning",2588,Art Competitions Mixed Architecture,Art Competitions,Art Competitions,MIXED,MIXED,0.729167,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2111,"Art Competitions Mixed Architecture, Architectural Designs",2588,Art Competitions Mixed Architecture,Art Competitions,Art Competitions,MIXED,MIXED,0.76087,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2181,Art Competitions Mixed Painting,2188,"Art Competitions Mixed Painting, Unknown Event",Art Competitions,Art Competitions,MIXED,MIXED,0.815789,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2181,Art Competitions Mixed Painting,2328,"Art Competitions Mixed Painting, Paintings",Art Competitions,Art Competitions,MIXED,MIXED,0.861111,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2181,Art Competitions Mixed Painting,2495,"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,Art Competitions,MIXED,MIXED,0.826667,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2181,Art Competitions Mixed Painting,2499,"Art Competitions Mixed Painting, Applied Arts",Art Competitions,Art Competitions,MIXED,MIXED,0.826667,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2188,"Art Competitions Mixed Painting, Unknown Event",2548,Art Competitions Mixed Unknown Event,Art Competitions,Art Competitions,MIXED,MIXED,0.888889,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2206,Art Competitions Mixed Literature,2491,"Art Competitions Mixed Literature, Lyric Works",Art Competitions,Art Competitions,MIXED,MIXED,0.846154,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2206,Art Competitions Mixed Literature,2497,"Art Competitions Mixed Literature, Unknown Event",Art Competitions,Art Competitions,MIXED,MIXED,0.825,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2206,Art Competitions Mixed Literature,2556,"Art Competitions Mixed Literature, Dramatic Works",Art Competitions,Art Competitions,MIXED,MIXED,0.814815,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2206,Art Competitions Mixed Literature,2587,"Art Competitions Mixed Literature, Epic Works",Art Competitions,Art Competitions,MIXED,MIXED,0.857143,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2331,"Art Competitions Mixed Sculpturing, Statues",2399,Art Competitions Mixed Sculpturing,Art Competitions,Art Competitions,MIXED,MIXED,0.894737,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2388,"Art Competitions Mixed Architecture, Unknown Event",2548,Art Competitions Mixed Unknown Event,Art Competitions,Art Competitions,MIXED,MIXED,0.847059,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2388,"Art Competitions Mixed Architecture, Unknown Event",2588,Art Competitions Mixed Architecture,Art Competitions,Art Competitions,MIXED,MIXED,0.833333,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2399,Art Competitions Mixed Sculpturing,2562,"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions,Art Competitions,MIXED,MIXED,0.781609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2399,Art Competitions Mixed Sculpturing,2577,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions,Art Competitions,MIXED,MIXED,0.781609,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2399,Art Competitions Mixed Sculpturing,2580,"Art Competitions Mixed Sculpturing, Medals",Art Competitions,Art Competitions,MIXED,MIXED,0.906667,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2399,Art Competitions Mixed Sculpturing,2645,"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions,Art Competitions,MIXED,MIXED,0.894737,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2497,"Art Competitions Mixed Literature, Unknown Event",2548,Art Competitions Mixed Unknown Event,Art Competitions,Art Competitions,MIXED,MIXED,0.86747,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2519,Art Competitions Mixed Music,2555,"Art Competitions Mixed Music, Vocals",Art Competitions,Art Competitions,MIXED,MIXED,0.888889,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
2519,Art Competitions Mixed Music,2616,"Art Competitions Mixed Music, Unknown Event",Art Competitions,Art Competitions,MIXED,MIXED,0.8,contención de tokens con similitud; requiere revisión,NO,Candidato textual contextual; la firma no es idéntica y no se propone auto-merge.
